frequency_hz,linear_triplen_check_grid_ohm,linear_triplen_check_grid_angle_deg,linear_triplen_check_filter_ohm,linear_triplen_check_filter_angle_deg,linear_triplen_check_pcc_ohm,linear_triplen_check_pcc_angle_deg
1.0,0.020039439530689835,3.5952737798681755,479.9863346372577,-89.99618023892967,0.020004761133952498,3.586651324813837
1.149929160763397,0.020052135821654167,4.132563781285628,417.4036386391161,-89.99560752962826,0.020017452226686366,4.12264854694899
1.299858321526794,0.02006659311803056,4.669126714700515,369.2576717418314,-89.99503481374502,0.02003190364281435,4.657918691946193
1.4497874822901908,0.020082807616659336,5.2048701497350125,331.0695291996398,-89.9944620904217,0.020048111595913753,5.192369328236343
1.5997166430535879,0.020100775065144693,5.73970251113846,300.03939970519974,-89.9938893588,0.020066071852324972,5.725908879377431
1.7496458038169849,0.020120490767373655,6.2735331697273065,274.3271481523524,-89.99331661802162,0.02008577973665368,6.258446714994471
1.8995749645803817,0.020141949589576175,6.806272530897682,252.67359026299675,-89.99274386722817,0.020107230137812484,6.7898932392920734
2.0495041253437787,0.020165145966908368,7.3378321205044434,234.18799857690811,-89.99217110556123,0.020130417515584108,7.320159976933475
2.1994332861071757,0.020190073910539487,7.868124667912814,218.22251914391381,-89.99159833216231,0.02015533590768676,7.849159656092171
2.3493624468705727,0.020216727015222005,8.397064186041908,204.2946742829238,-89.99102554617288,0.020181978937321106,8.376806288495443
2.4992916076339697,0.020245098467322916,8.924566048233103,192.03775907596562,-89.99045274673435,0.020210339821177013,8.903015246292703
2.6492207683973668,0.020275181053293397,9.450547061790509,181.16808133281694,-89.98987993298805,0.02024041137787732,9.427703335595968
2.7991499291607633,0.020306967168552962,9.974925538055581,171.4627297904253,-89.98930710407524,0.02027218603683473,9.950788866554465
2.949079089924161,0.020340448826763433,10.497621358893058,162.74412380940043,-89.9887342591371,0.020305655847497335,10.472191719840552
3.0990082506875574,0.020375617669467334,11.018556039480606,154.86904795893264,-89.98816139731476,0.02034081248895739,10.991833409439366
3.2489374114509544,0.02041246497606476,11.537652787310332,147.72072273680104,-89.98758851774922,0.020377647279897448,11.5096371416503
3.3988665722143514,0.020450981674102225,12.05483655732565,141.20297392479958,-89.98701561958141,0.020416151188847452,12.025527870223915
3.5487957329777484,0.02049115834984672,12.570034103132677,135.23587993903286,-89.9864427019522,0.020456314844726133,12.539432347573259
3.6987248937411454,0.02053298525911794,13.083174024240627,129.75247779765846,-89.9858697640023,0.020498128547639653,13.051279172014308
3.8486540545045425,0.020576452338351467,13.594186809300954,124.69623902765463,-89.98529680487236,0.020541582279910525,13.560998831005083
3.9985832152679395,0.020621549215865866,14.10300487532972,120.01911342548978,-89.98472382370294,0.020586665717309532,14.06852374036799
4.148512376031336,0.020668265223306483,14.609562602912264,115.67999701417045,-89.98415081963445,0.020633368240463926,14.57378827949451
4.2984415367947335,0.02071658940723921,15.113796367403198,111.64352062521166,-89.98357779180719,0.020681678946414952,15.076728822545174
4.44837069755813,0.020766510540867596,15.615644566148218,107.87908346049012,-89.98300473936136,0.020731586660298177,15.577283765671364
4.598299858321527,0.0208180171358472,16.11504764176728,104.36007572040164,-89.98243166143703,0.020783079947120735,16.07539355029848
4.748229019084924,0.020871097454171494,16.61194810155067,101.06324850887627,-89.98185855717416,0.02083614712360977,16.57100068252199
4.898158179848322,0.020925739520104264,17.10629053303142,97.9681994589666,-89.98128542571254,0.020890776270107096,17.064049748679885
5.048087340611718,0.020981931132134063,17.5980216158081,95.0569500205473,-89.98071226619186,0.02094695524248573,17.554487427175413
5.198016501375115,0.021039659874927,18.08709012970229,92.31359590311241,-89.98013907775163,0.021004671684064623,18.04226249663454
5.347945662138512,0.021098913131254973,18.573446959344253,89.72401631739439,-89.97956585953126,0.021063913037498848,18.52732584049166
5.497874822901909,0.021159678093877213,19.05704509528892,87.27563079154105,-89.97899261066998,0.02112466655662299,19.009630448105533
5.647803983665306,0.021221941777354033,19.53783963177202,84.95719472129929,-89.97841933030689,0.021186919318226968,19.489131412515402
5.797733144428703,0.021285691029772447,20.01578776122299,82.75862664258597,-89.97784601758092,0.02125065823374369,19.96578592495397
5.947662305192099,0.021350912544364452,20.490848765657578,80.67086162882241,-89.97727267163083,0.021315870060829703,20.439553266239844
6.097591465955497,0.0214175928709997,20.962984005078052,78.68572631649508,-89.97669929159521,0.021382541414820426,20.91039479517791
6.247520626718893,0.021485718427535265,21.43215690301372,76.79583192567523,-89.97612587661253,0.02145065878004276,21.378273934099717
6.397449787482291,0.021555275511006423,21.89833292933794,74.99448232341719,-89.97555242582102,0.021520208520969055,21.84315615168054
6.5473789482456874,0.021626250308643232,22.361479580500866,73.27559471875597,-89.97497893835876,0.021591176893197346,22.305008943172094
6.697308109009085,0.02169862890869889,22.821566357319334,71.6336310098641,-89.97440541336364,0.02166355005424369,22.763801808192426
6.8472372697724815,0.021772397311076903,23.27856474046683,70.06353815066818,-89.97383184997338,0.02173731407413386,23.219506226215852
6.997166430535879,0.02184754143774506,23.73244816380734,68.56069618409713,-89.97325824732549,0.021812454945782416,23.67209562990682
7.1470955912992755,0.021924047142925503,24.183191985717016,67.12087281616768,-89.97268460455729,0.021888958595148264,24.121545376441574
7.297024752062672,0.022001900223050864,24.63077345853721,65.74018359016264,-89.97211092080589,0.021966810891157054,24.567832716961156
7.4469539128260696,0.022081086426477867,25.07517169630155,64.41505687167715,-89.9715371952082,0.022045997655381455,25.010936764298467
7.596883073589466,0.022161591462950443,25.516367640878038,63.14220297991477,-89.97096342690094,0.022126504671471814,25.450838459120416
7.746812234352864,0.022243401012805673,25.954344026665368,61.91858690351784,-89.97038961502058,0.022208317694330074,25.88752053462414
7.89674139511626,0.0223265007359166,26.389085343980067,60.7414041245351,-89.9698157587034,0.022291422459021427,26.32096747992421
8.046670555879658,0.022410876280367035,26.820577801268357,59.60805914514096,-89.96924185708546,0.022375804689418573,26.751165502264463
