case,origin,channel,rms_total,dc,fundamental_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct
tuned_5th,ANALYTICAL_REFERENCE,Iload_A,103.56640381899916,-7.995822135811399e-16,99.99999999999997,-179.99999999999935,26.944387170614977,3.829589539386987e-12,8.431863494757606e-12
tuned_5th,ANALYTICAL_REFERENCE,Isystem_A,108.29612104197638,1.7514110857592924e-14,107.50659214076948,-160.33884905209877,12.141640536198404,2.8181656553017267e-12,6.580201277260439e-12
tuned_5th,ANALYTICAL_REFERENCE,Ifilter_A,41.60254477444225,-5.825904490189101e-15,36.192534806865325,88.03843228871409,56.683426659841345,9.636754472394788e-13,9.705852810991863e-12
tuned_5th,ANALYTICAL_REFERENCE,Ilinear_A,0.0,0.0,0.0,0.0,,0.0,0.0
tuned_5th,ANALYTICAL_REFERENCE,Vpcc_A,278.1133645681848,2.8004613061329616e-15,277.9562545124887,-1.7228366781872038,3.362715489871534,5.006350538494354e-13,1.4492015589936927e-12
tuned_5th,ANALYTICAL_REFERENCE,Iload_B,103.56640381899913,-1.6569395913832503e-14,100.0,59.99999999999867,26.94438717061501,1.6983970470868824e-12,5.180878390576231e-12
tuned_5th,ANALYTICAL_REFERENCE,Isystem_B,108.29612104197633,-1.5746040027747626e-14,107.50659214076936,79.66115094790253,12.141640536198572,1.0792227807541807e-12,4.164056630821923e-12
tuned_5th,ANALYTICAL_REFERENCE,Ifilter_B,41.60254477444225,1.3793265947722364e-15,36.19253480686533,-31.961567711286506,56.68342665984142,1.236599798225841e-12,4.383343734281602e-12
tuned_5th,ANALYTICAL_REFERENCE,Ilinear_B,0.0,0.0,0.0,0.0,,0.0,0.0
tuned_5th,ANALYTICAL_REFERENCE,Vpcc_B,278.1133645681847,2.7478801896023407e-14,277.95625451248867,-121.72283667818797,3.362715489871618,9.734788942747318e-13,2.0394018795586116e-12
tuned_5th,ANALYTICAL_REFERENCE,Iload_C,103.56640381899916,8.362848951654006e-15,99.99999999999986,-59.999999999998636,26.94438717061498,1.4424825057554528e-12,6.2702601154040195e-12
tuned_5th,ANALYTICAL_REFERENCE,Isystem_C,108.29612104197673,9.174287300863561e-15,107.5065921407697,-40.33884905209804,12.141640536198354,1.1579165033444112e-12,4.9542515073460495e-12
tuned_5th,ANALYTICAL_REFERENCE,Ifilter_C,41.602544774442244,3.1676009710486875e-15,36.19253480686536,-151.96156771128724,56.683426659841324,2.0967422991949573e-12,6.033398094773946e-12
tuned_5th,ANALYTICAL_REFERENCE,Ilinear_C,0.0,0.0,0.0,0.0,,0.0,0.0
tuned_5th,ANALYTICAL_REFERENCE,Vpcc_C,278.1133645681847,-1.2497931239761023e-14,277.9562545124883,118.27716332181343,3.3627154898715386,1.2461468290887524e-12,2.4953998861135576e-12
