channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,1.95776700047773e-10,99.99999999972306,1.5791571371293912e-10,2.515271136864037e-10
Iload,2,negative,1.517142319959698e-14,1.1902217572898547e-10,6.29909391050412e-11,
Iload,3,zero,7.522620125208794e-15,9.415442979530775e-11,9.973518881986236e-11,
Iload,4,positive,2.3817612014337768e-14,9.575224934306666e-11,2.0352886879867554e-10,
Iload,5,negative,3.598130145222017e-11,8.251039913417774e-11,20.000000000029228,4.500727724338915e-10
Iload,6,zero,1.0562235501086777e-14,1.9696923054773109e-10,2.0857123058870145e-10,
Iload,7,positive,2.7534399896530156e-11,14.000000000007054,8.463416469663167e-11,6.35717697083569e-10
Iload,8,negative,2.6160670115362367e-14,1.4893759687246158e-10,7.610550964519384e-11,
Iload,9,zero,2.931138306183345e-14,6.640046207819132e-11,6.458597667862378e-11,
Iload,10,positive,2.8999808541917414e-14,3.986508591425505e-11,7.167018141809568e-11,
Iload,11,negative,1.6399160803860187e-11,3.96230581155666e-11,9.000000000058861,4.764735699892687e-10
Iload,12,zero,1.7794381198414922e-14,2.0849791873961505e-11,1.3443147238185557e-11,
Iload,13,positive,1.5005767488542803e-11,6.999999999984034,7.367975273968696e-12,2.388151524776386e-10
Iload,14,negative,2.1889388952414025e-14,1.0543171438033671e-11,8.999808695619525e-12,
Iload,15,zero,1.3865225808319045e-14,8.997740493027091e-12,9.269153346495234e-12,
Iload,16,positive,2.5341203650493153e-14,7.76652508362796e-12,9.074741380533024e-12,
Iload,17,negative,1.4908071761450564e-14,6.54980510840847e-12,8.794029037906723e-12,
Iload,18,zero,5.617333549722465e-15,5.729164792572636e-12,8.213198084266648e-12,
Iload,19,positive,1.3956667029607088e-14,5.167620934434543e-12,7.762819717538572e-12,
Iload,20,negative,1.613218534212622e-14,4.696536483521783e-12,7.2475773462500144e-12,
Iload,21,zero,2.38810237143226e-14,4.139407925571723e-12,6.935273073776504e-12,
Iload,22,positive,2.5415513838182058e-14,3.665079394139066e-12,6.516108604164159e-12,
Iload,23,negative,1.942294558297032e-14,3.5433401287974386e-12,6.2417377689631575e-12,
Iload,24,zero,2.763442023744644e-14,3.4037297541747817e-12,5.807443755137229e-12,
Iload,25,positive,2.531611462855657e-14,3.0953561026570774e-12,5.51027268463377e-12,
Isystem,1,positive,1.9574899834102403e-10,99.99999999999814,1.5793626896275018e-10,2.5151845937304636e-10
Isystem,2,negative,9.182617581444275e-15,1.1898873593811837e-10,6.29965324044701e-11,
Isystem,3,zero,2.6741603672639767e-14,9.418401858505546e-11,9.975682966462443e-11,
Isystem,4,positive,7.516063193916277e-15,9.575600202358437e-11,2.0353501903227972e-10,
Isystem,5,negative,3.594931855260566e-11,8.250994212928997e-11,20.000000000028805,4.5000677924205116e-10
Isystem,6,zero,1.0574028414656911e-14,1.970301888088909e-10,2.0860348698836282e-10,
Isystem,7,positive,2.7540652994013893e-11,14.000000000006782,8.462022937026379e-11,6.356368647079626e-10
Isystem,8,negative,1.1790454687684024e-14,1.4895174501782606e-10,7.611756453012419e-11,
Isystem,9,zero,2.608013425432831e-14,6.638966737101727e-11,6.458320382239546e-11,
Isystem,10,positive,1.1640183822275184e-14,3.9859685125024425e-11,7.166778755322842e-11,
Isystem,11,negative,1.6392891966785167e-11,3.962925777833626e-11,9.00000000005869,4.765105907483838e-10
Isystem,12,zero,2.3131511445841314e-14,2.084473204671451e-11,1.3470946803752702e-11,
Isystem,13,positive,1.498604795752701e-11,6.999999999983906,7.391616153125275e-12,2.387115169291962e-10
Isystem,14,negative,2.4098631900206836e-14,1.053311176650219e-11,9.001506717918595e-12,
Isystem,15,zero,2.258754814484428e-14,8.996180997789698e-12,9.287201189918091e-12,
Isystem,16,positive,2.7843759936633353e-14,7.75176642245876e-12,9.09833376968894e-12,
Isystem,17,negative,3.919183376262236e-14,6.557807348837358e-12,8.79518554173615e-12,
Isystem,18,zero,3.209481328494153e-14,5.726459219685743e-12,8.200155805141617e-12,
Isystem,19,positive,1.1583386007412092e-14,5.1597741376436724e-12,7.73377452558758e-12,
Isystem,20,negative,3.3608455719661214e-14,4.6523495766953234e-12,7.2625608816998174e-12,
Isystem,21,zero,7.383377292696212e-15,4.113891277410094e-12,6.940720778114733e-12,
Isystem,22,positive,2.5182682005447002e-14,3.696186484722669e-12,6.531282988458814e-12,
Isystem,23,negative,2.2469334198890705e-14,3.5429020457986262e-12,6.224155466075247e-12,
Isystem,24,zero,2.5681346194672294e-14,3.405490633647943e-12,5.792726769009339e-12,
Isystem,25,positive,2.795215378133784e-14,3.0824302621269197e-12,5.4942245738022435e-12,
Ifilter,1,positive,1.9384808236530992e-16,2.7523111474355906e-10,1.166119294654488e-16,
Ifilter,2,negative,5.505290441343951e-17,6.39195269294874e-17,2.210352225024917e-17,
Ifilter,3,zero,6.827467967187665e-17,2.2317014591534192e-17,8.263651812242661e-17,
Ifilter,4,positive,2.817641909328299e-17,6.34418135122072e-17,3.6291145135093746e-17,
Ifilter,5,negative,4.800182525061057e-17,4.450694060651991e-17,7.550650126437183e-12,
Ifilter,6,zero,4.497628932525673e-17,2.5087026545487084e-17,2.0027018112195792e-17,
Ifilter,7,positive,5.376698109977014e-17,7.394777104031113e-12,1.339647116914525e-17,
Ifilter,8,negative,4.233858651736758e-17,5.473274567581852e-17,5.0986358044984156e-17,
Ifilter,9,zero,5.028293953206616e-17,7.906603874766054e-17,4.5160938786334946e-17,
