time_s,Iload_A,Isystem_A,Ifilter_A,Ilinear_A,Vpcc_A,Iload_B,Isystem_B,Ifilter_B,Ilinear_B,Vpcc_B,Iload_C,Isystem_C,Ifilter_C,Ilinear_C,Vpcc_C
0.0,9.5112203510261,9.5112203510259,1.9038590148845e-13,0.0,0.19022440702051,129.53202534053,129.53202534053,2.5812685322535e-12,0.0,2.5906405068109,-139.0432456915,-139.0432456915,-2.7808649137672e-12,0.0,-2.7808649138303
2e-05,12.344260532988,12.344260532988,-3.590877595272e-13,0.0,-0.35874422520776,129.0028111194,129.0028111194,2.5257573810222e-12,0.0,2.5108598327943,-141.34707165231,-141.34707165231,-2.1521156232593e-12,0.0,-2.1521156075865
4e-05,15.10694162421,15.106941624211,-1.0928757898654e-12,0.0,-1.0925495987305,128.50242296935,128.50242296935,2.4424906541753e-12,0.0,2.4613323257587,-143.60936459347,-143.60936459347,-1.3687827584575e-12,0.0,-1.3687827270278
6e-05,17.780623695291,17.780623695265,2.6873468728095e-11,0.0,26.872797137054,128.03388292076,128.03388292076,2.4424906541753e-12,0.0,2.4374557922982,-145.81450661595,-145.81450661592,-2.3842715184501e-11,0.0,-23.842715184584
8e-05,20.347334639343,20.347334639317,2.5788399193871e-11,0.0,25.788523609253,127.59973610534,127.59973610534,-2.914335439641e-12,0.0,-2.9037741109679,-147.94707074456,-147.94707074454,-2.2712632140343e-11,0.0,-22.712632140544
0.0001,22.789893601943,22.789893601918,2.4535928844216e-11,0.0,24.539266980486,127.20204450793,127.20204450793,-2.8865798640254e-12,0.0,-2.8904957394895,-149.99193810973,-149.99193810971,-2.1476653882978e-11,0.0,-21.476653883291
0.00012,25.092027498016,25.092027497993,2.3134272275627e-11,0.0,23.135258843578,126.84238604444,126.84238604444,-2.8588242884098e-12,0.0,-2.8657506937884,-151.9344135423,-151.93441354228,-2.0097390791692e-11,0.0,-20.097390792117
0.00014,27.238479697073,27.238479697051,2.1586898935055e-11,0.0,21.586871975788,126.52185888341,126.52185888341,-2.8310687127941e-12,0.0,-2.8342171148359,-153.76033858031,-153.7603385803,-1.8580537502776e-11,0.0,-18.580537503313
0.00016,29.215110030009,29.215110029989,1.9904217163358e-11,0.0,19.905455011143,126.24109087214,126.24109087214,-2.8033131371785e-12,0.0,-2.8004630188903,-155.45620090197,-155.45620090195,-1.6932874634004e-11,0.0,-16.932874634654
0.00018,31.008985349513,31.008985349495,1.8103574195294e-11,0.0,18.103236208829,126.00025387359,126.00025387359,-2.7478019859473e-12,0.0,-2.7688980442283,-157.00923922291,-157.0092392229,-1.5162220806273e-11,0.0,-15.162220807036
0.0002,32.608459961263,32.608459961247,1.6195378371719e-11,0.0,16.193220634825,125.79908276789,125.79908276789,-2.7478019859473e-12,0.0,-2.7437278170665,-158.40754272895,-158.40754272894,-1.3277375459352e-11,0.0,-13.277375460228
0.00022,34.003245333811,34.003245333796,1.419003803349e-11,0.0,14.189081677024,125.63689882338,125.63689882338,-2.7478019859473e-12,0.0,-2.7289114168409,-159.64014415698,-159.64014415697,-1.1288052901701e-11,0.0,-11.288052902689
0.00024,35.184468590428,35.184468590416,1.2108369862318e-11,0.0,12.105047858764,125.51263709641,125.51263709641,-2.7200464103316e-12,0.0,-2.7281223835977,-160.69710568662,-160.69710568661,-9.2048081166112e-12,0.0,-9.2048081177133
0.00026,36.144719385453,36.144719385443,9.950373858203e-12,0.0,9.955785951454,125.42487747767,125.42487747767,-2.7478019859473e-12,0.0,-2.7447136682635,-161.5695968629,-161.56959686289,-7.0389549245644e-12,0.0,-7.0389549257804
0.00028,36.878084869793,36.878084869785,7.7576833845683e-12,0.0,7.756281413722,125.37187896594,125.37187896594,-2.7755575615629e-12,0.0,-2.7816868804699,-162.2499638355,-162.24996383549,-4.8024771745559e-12,0.0,-4.8024771758861
