case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Iload_theory_error_pct,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Isystem_theory_error_pct,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ifilter_theory_error_pct,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Ilinear_theory_error_pct,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,Vpcc_theory_error_pct,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
without_filter,PSCAD_EMTDC,A,1,60.0,positive,99.9999999997614,-179.99999998842426,-99.9999999997614,-2.020348338200412e-08,2.0204880004693435e-08,100.00000000003644,-179.99999998842858,-100.00000000003644,-2.019592866625145e-08,2.0196684938379936e-08,2.7523096678881147e-10,,2.7512767567898515e-10,-7.539705231838631e-12,,0.0,,0.0,0.0,,275.2314236136699,-1.5697864632730725,275.1281292205403,-7.539831298714326,3.2445800675349594e-06,2.7523096678946815e-10,100.00000000027504,-2.7512767567811826e-10,100.00000000027502,-0.0,9.202597016576994e-14,9.20259701659895e-14,-9.079352096557022e-14,-1.5010520831261597e-14
without_filter,PSCAD_EMTDC,A,2,120.0,negative,5.845434350146845e-11,,5.579229346385273e-11,1.7439330957092424e-11,,5.839934546388834e-11,,5.5737026209307063e-11,1.7431794513290744e-11,,7.251427296065218e-17,,4.289255051595871e-18,-7.238730602884964e-17,,0.0,,0.0,0.0,,3.904259001224634e-09,,3.904244662869686e-09,1.0581167097561697e-11,,,,,,,5.5784313597437177e-14,,5.5262965290613693e-14,7.608831107709011e-15
without_filter,PSCAD_EMTDC,A,3,180.0,zero,2.061040366958372e-11,,-6.534724813041871e-12,1.9547023073629524e-11,,2.0576832436029094e-11,,-6.511487444653351e-12,1.951938944635669e-11,,1.5687148594083417e-16,,-1.3027939292622362e-17,-1.5632957461425231e-16,,0.0,,0.0,0.0,,2.707265192217975e-09,,2.7071848191117384e-09,-2.0860876443056106e-11,,,,,,,3.62167321950055e-14,,-2.3224340449227135e-14,2.7789956847450128e-14
without_filter,PSCAD_EMTDC,A,4,240.0,positive,1.1221713431077715e-10,,-1.0968163486778073e-10,2.3719700791827525e-11,,1.122091267084254e-10,,-1.0966719001716083e-10,2.3748590493067305e-11,,8.565502787349888e-17,,3.2664239444057334e-18,-8.559272325744334e-17,,0.0,,0.0,0.0,,1.91100361831412e-09,,1.909623068763191e-09,-7.26261967688767e-11,,,,,,,3.222459857848137e-14,,-1.4448117043845652e-14,-2.8804108516522436e-14
without_filter,PSCAD_EMTDC,A,5,300.0,negative,20.00000000014253,-1.9975293131137875e-07,20.00000000014253,-6.972692683836958e-08,3.486353625745869e-07,20.000000000142073,-1.9977455041959668e-07,20.000000000142073,-6.9734473330763e-08,3.486730902454487e-07,7.550665913626371e-12,,4.001186433068583e-13,7.540057082706831e-12,,0.0,,0.0,0.0,,7.550648182848626,86.96330088261746,0.40000002789632366,7.540045620474601,0.0029568117510338035,3.775332956786281e-11,99.9999999999977,2.0005930850837822e-12,99.9999999999977,0.0,5.853623667018384e-14,2.9268118334883337e-13,5.81814212584063e-14,6.435310704204058e-15
without_filter,PSCAD_EMTDC,A,6,360.0,zero,4.015174245898104e-10,,3.9679549326026816e-10,6.139689550437033e-11,,4.0160813539744445e-10,,3.9688106329926643e-10,6.143708987131264e-11,,7.062000337515708e-17,,1.1954812098198907e-17,6.96007711480552e-17,,0.0,,0.0,0.0,,1.324340588155411e-09,,1.311952929514592e-09,1.8071387377260165e-10,,,,,,,9.458046711973963e-14,,-8.558199381036668e-14,-4.026396771345948e-14
without_filter,PSCAD_EMTDC,A,7,420.0,positive,14.000000000108974,20.00000023570583,13.15569667140688,4.788282060717101,4.113850189080183e-07,14.000000000108702,20.000000235675696,13.155696671409144,4.78828206071009,4.1133242628850183e-07,7.394831567176606e-12,,-2.2642693065394068e-12,7.039646185311814e-12,,0.0,,0.0,0.0,,7.394757714356878,107.82999616802881,-2.26422847031597,7.039581741002172,0.005799581350628059,5.282022547942175e-11,99.99999999999807,1.9998833488029966e-12,99.99999999999808,0.0,2.8371785615348523e-14,2.026556115366263e-13,-5.856636959125475e-16,-2.8365740199025082e-14
without_filter,PSCAD_EMTDC,A,8,480.0,negative,8.286376470709257e-11,,-6.100248827874897e-11,-5.608119047625055e-11,,8.286536249560427e-11,,-6.101504901841843e-11,-5.6069885810548025e-11,,1.4729468827697227e-16,,1.6967965652035096e-17,1.4631409137961316e-16,,0.0,,0.0,0.0,,1.0173852782928936e-09,,1.0171686984336968e-09,-2.0991508135618596e-11,,,,,,,1.6984438371572378e-14,,1.2543771703813824e-14,-1.145097979390147e-14
without_filter,PSCAD_EMTDC,A,9,540.0,zero,2.8866123657068768e-11,,4.970284687209358e-12,-2.8435002463746636e-11,,2.889120947218638e-11,,4.986613648779669e-12,-2.8457611795151683e-11,,1.6488537444515996e-16,,-1.2704985479628305e-16,-1.0509767410444438e-16,,0.0,,0.0,0.0,,9.079021646989639e-10,,9.073802972787255e-10,3.0778836486069774e-11,,,,,,,2.7900667225518542e-14,,-1.6201911715514505e-14,2.271442907915139e-14
without_filter,PSCAD_EMTDC,A,10,600.0,positive,4.300546334188257e-11,,3.6903453148903444e-11,-2.208178033892861e-11,,4.3040565394307244e-11,,3.692857462824239e-11,-2.2108157892234498e-11,,2.423404301584892e-16,,5.845757645715062e-18,-2.4226991395332013e-16,,0.0,,0.0,0.0,,7.794981931535824e-10,,7.788512725369048e-10,3.175103773648677e-11,,,,,,,3.660597567017409e-14,,-2.5127325096590358e-14,2.6619823219841964e-14
