channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,1.95776700047773e-10,99.99999999972306,1.5791571371293912e-10,2.515271136864037e-10
Iload,2,negative,1.517142319959698e-14,1.1902217572898547e-10,6.29909391050412e-11,
Iload,3,zero,7.522620125208794e-15,9.415442979530775e-11,9.973518881986236e-11,
Iload,4,positive,2.3817612014337768e-14,9.575224934306666e-11,2.0352886879867554e-10,
Iload,5,negative,3.598130145222017e-11,8.251039913417774e-11,20.000000000029228,4.500727724338915e-10
Iload,6,zero,1.0562235501086777e-14,1.9696923054773109e-10,2.0857123058870145e-10,
Iload,7,positive,2.7534399896530156e-11,14.000000000007054,8.463416469663167e-11,6.35717697083569e-10
Iload,8,negative,2.6160670115362367e-14,1.4893759687246158e-10,7.610550964519384e-11,
Iload,9,zero,2.931138306183345e-14,6.640046207819132e-11,6.458597667862378e-11,
Iload,10,positive,2.8999808541917414e-14,3.986508591425505e-11,7.167018141809568e-11,
Iload,11,negative,1.6399160803860187e-11,3.96230581155666e-11,9.000000000058861,4.764735699892687e-10
Iload,12,zero,1.7794381198414922e-14,2.0849791873961505e-11,1.3443147238185557e-11,
Iload,13,positive,1.5005767488542803e-11,6.999999999984034,7.367975273968696e-12,2.388151524776386e-10
Iload,14,negative,2.1889388952414025e-14,1.0543171438033671e-11,8.999808695619525e-12,
Iload,15,zero,1.3865225808319045e-14,8.997740493027091e-12,9.269153346495234e-12,
Iload,16,positive,2.5341203650493153e-14,7.76652508362796e-12,9.074741380533024e-12,
Iload,17,negative,1.4908071761450564e-14,6.54980510840847e-12,8.794029037906723e-12,
Iload,18,zero,5.617333549722465e-15,5.729164792572636e-12,8.213198084266648e-12,
Iload,19,positive,1.3956667029607088e-14,5.167620934434543e-12,7.762819717538572e-12,
Iload,20,negative,1.613218534212622e-14,4.696536483521783e-12,7.2475773462500144e-12,
Iload,21,zero,2.38810237143226e-14,4.139407925571723e-12,6.935273073776504e-12,
Iload,22,positive,2.5415513838182058e-14,3.665079394139066e-12,6.516108604164159e-12,
Iload,23,negative,1.942294558297032e-14,3.5433401287974386e-12,6.2417377689631575e-12,
Iload,24,zero,2.763442023744644e-14,3.4037297541747817e-12,5.807443755137229e-12,
Iload,25,positive,2.531611462855657e-14,3.0953561026570774e-12,5.51027268463377e-12,
Isystem,1,positive,1.9766167144591439e-10,107.50661098835124,2.633835669746261e-10,3.063103453457375e-10
Isystem,2,negative,1.5360893915158994e-14,3.153186016833367e-10,1.81206058064698e-10,
Isystem,3,zero,9.062515398864635e-15,4.6488304311881967e-10,2.3130601348783803e-10,
Isystem,4,positive,2.04624005984078e-14,1.2761650027505259e-09,5.328356265530863e-10,
Isystem,5,negative,3.014930417595009e-12,1.1477284830701083e-09,1.681244924062936,6.826681981591937e-08
Isystem,6,zero,3.0519266063200455e-14,3.2157954141010085e-10,1.2857431716468867e-10,
Isystem,7,positive,1.859489646802554e-11,9.452211455214774,8.394327779750004e-11,9.096089395134457e-10
Isystem,8,negative,5.442987190100281e-15,2.5188122901769905e-10,4.147679434581973e-11,
Isystem,9,zero,1.7036284565327243e-14,1.6659392287811027e-10,2.6860737533634434e-11,
Isystem,10,positive,1.0465712847662823e-14,1.2774141760521525e-10,1.0658951901552656e-11,
Isystem,11,negative,1.266215466256587e-11,1.0880171528716144e-10,6.939035841666099,1.5785483680730775e-09
Isystem,12,zero,3.011818601597767e-14,8.862934799375353e-11,5.466003588740752e-11,
Isystem,13,positive,1.1743785959921089e-11,5.483557971670083,4.625250714602934e-11,8.702402981925613e-10
Isystem,14,negative,2.7833133523373245e-14,6.592627185970618e-11,3.3401215734218197e-11,
Isystem,15,zero,1.012679207245495e-14,5.9300303652263e-11,2.991873663091e-11,
Isystem,16,positive,1.4617163530382193e-14,5.379619590652199e-11,2.7491871586901842e-11,
Isystem,17,negative,4.140078615215341e-14,4.8933625607247845e-11,2.551497430098237e-11,
Isystem,18,zero,2.1316282072805464e-14,4.5116179614104134e-11,2.4196210559943803e-11,
Isystem,19,positive,1.3684246288240038e-14,4.1750785844515e-11,2.2905164851861147e-11,
Isystem,20,negative,1.2806497314868058e-14,3.881542012917792e-11,2.1859670145930037e-11,
Isystem,21,zero,1.3532607176804456e-14,3.635429405457751e-11,2.0842058012297156e-11,
Isystem,22,positive,2.2810272883079275e-14,3.400943184439047e-11,2.0053522970755733e-11,
Isystem,23,negative,1.2490762859424724e-14,3.2148216757868045e-11,1.9167801466502294e-11,
Isystem,24,zero,1.788313177988854e-14,3.0531845643612926e-11,1.8599236300585192e-11,
Isystem,25,positive,2.650104401105641e-14,2.886075525961201e-11,1.7924886371558617e-11,
Ifilter,1,positive,1.9309833167426694e-12,36.19258215906832,1.68569965309913e-10,4.657888845714804e-10
Ifilter,2,negative,1.0097673548904125e-14,2.5792724057190044e-10,1.8771707983777046e-10,
Ifilter,3,zero,7.291309826851349e-15,4.1413531892990127e-10,2.596776525277516e-10,
Ifilter,4,positive,1.2377430821041144e-14,1.2123898670657015e-09,6.305789346844414e-10,
Ifilter,5,negative,3.561390976748971e-11,1.1960809661602051e-09,19.835396359566182,6.0327055633346194e-09
Ifilter,6,zero,5.56245249212334e-15,4.3812565370542703e-10,2.956156883132326e-10,
Ifilter,7,positive,8.93733813638596e-12,4.547905297759198,1.517523422537172e-10,3.3425342730787636e-09
Ifilter,8,negative,3.173589772394517e-15,1.304712749041968e-10,1.1265628843665644e-10,
Ifilter,9,zero,2.520855578494601e-15,1.1000297438117073e-10,8.904048641332154e-11,
