case,origin,channel,rms_total,dc,fundamental_rms,harmonic_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct,dc_pct,unmodeled_rms,unmodeled_pct
tuned_5th,PSCAD_EMTDC,Iload_A,103.56640381881365,1.1234798310290177e-11,99.9999999997614,26.944387170787998,-179.99999998842426,26.944387170852288,1.4968375930184027e-08,6.972707251491739e-08,1.1234798310290176e-11,5.976762755226535e-09,5.976762755226535e-09
tuned_5th,PSCAD_EMTDC,Isystem_A,108.2961768416545,2.5395163567440183e-10,107.50661098829254,13.053371684391308,-160.33882587553393,12.14192463551178,2.3085096389262334e-07,0.004591271263854348,2.362195941825378e-10,2.0380293326405852e-08,1.8957249895634145e-08
tuned_5th,PSCAD_EMTDC,Ifilter_A,41.600208191120316,-2.4267669169954123e-10,36.19258215890275,20.510346613736782,88.03842991819222,56.670028470714094,6.009651238878856e-07,0.013637992278795637,6.705158757034838e-10,2.1153851618695405e-08,5.844810741104199e-08
tuned_5th,PSCAD_EMTDC,Ilinear_A,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
tuned_5th,PSCAD_EMTDC,Vpcc_A,278.1135128052774,-0.2254373265916208,277.9562615504991,9.348360699796848,-1.7228387424240463,3.3632488247070618,3.012244427155204e-08,0.0006701754195944248,0.08110532608342219,7.53509236305229e-09,2.7108914588981617e-09
tuned_5th,PSCAD_EMTDC,Iload_B,103.56640381869379,-7.1976634732345335e-12,99.999999999698,26.944387170562024,60.00000001176914,26.94438717064339,1.4968338524800426e-08,6.973437116178281e-08,7.197663473234533e-12,5.97681940015905e-09,5.976819400159049e-09
tuned_5th,PSCAD_EMTDC,Isystem_B,108.29617684171573,-1.1708493009653858e-10,107.50661098835461,13.053371684385956,79.6611741248036,12.141924635499796,1.491855906325159e-07,0.004591272813046372,1.0890953546665045e-10,1.35759646657386e-08,1.2628029961141535e-08
tuned_5th,PSCAD_EMTDC,Ifilter_B,41.600208190523865,1.0987920196325316e-10,36.192582159179224,20.510346612039164,-31.961570081648194,56.67002846559068,3.883690271291813e-07,0.013637997409257795,3.0359631495722224e-10,1.40362857531619e-08,3.878226774682653e-08
tuned_5th,PSCAD_EMTDC,Ilinear_B,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
tuned_5th,PSCAD_EMTDC,Vpcc_B,278.1134298676815,-0.0684823470375391,277.95626155055595,9.348360699761336,-121.7228387424817,3.3632488246935983,1.9484583795141308e-08,0.0006701756225935716,0.02463781473730506,5.267573462073907e-09,1.8951088081514043e-09
tuned_5th,PSCAD_EMTDC,Iload_C,103.56640381871966,-4.095754612755835e-12,99.99999999970977,26.94438717061748,-59.999999988581116,26.944387170695684,1.4968322661954093e-08,6.980596156560645e-08,4.095754612755834e-12,5.9767558732913715e-09,5.976755873291371e-09
tuned_5th,PSCAD_EMTDC,Isystem_C,108.29617684174791,-1.3683664962014063e-10,107.50661098840662,13.053371684224905,-40.33882587558965,12.141924635344115,1.3391836117033603e-07,0.004591271170711139,1.2728210139985258e-10,1.2755349666018075e-08,1.1864713978949437e-08
tuned_5th,PSCAD_EMTDC,Ifilter_C,41.60020819139989,1.3278565919973767e-10,36.19258215912299,20.510346613915267,-151.96157008210332,56.670028470862405,3.4566912087847564e-07,0.0136379924421235,3.668868729651665e-10,1.2849176559481871e-08,3.550228418111384e-08
tuned_5th,PSCAD_EMTDC,Ilinear_C,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
tuned_5th,PSCAD_EMTDC,Vpcc_C,278.1134644192136,0.15462371932047067,277.9562615502469,9.348360699779096,118.27716125754333,3.363248824703727,1.8388968363119285e-08,0.000670175381095016,0.05562879654989861,4.909882948386443e-09,1.7664229060065425e-09
