time_s,Iload_A,Isystem_A,Ifilter_A,Ilinear_A,Vpcc_A,Iload_B,Isystem_B,Ifilter_B,Ilinear_B,Vpcc_B,Iload_C,Isystem_C,Ifilter_C,Ilinear_C,Vpcc_C
0.0,9.5112203510261,8.50840560323,1.0028147477961,0.0,0.083881350432294,129.53202534053,115.87482673411,13.657198606419,0.0,1.1423687822163,-139.0432456915,-124.38323233729,-14.660013354209,0.0,-1.2262501326481
2e-05,12.344260532988,11.04307589091,1.3011846420777,0.0,-0.15508684391769,129.0028111194,115.40958485215,13.593226267248,0.0,1.0357639602858,-141.34707165231,-126.45266074299,-14.894410909317,0.0,-0.88067711636832
4e-05,15.10694162421,13.515981558054,1.5909600661555,0.0,-0.47177294623309,128.50242296935,114.99439770764,13.50802526171,0.0,0.94646522384159,-143.60936459347,-128.51037926561,-15.098985327856,0.0,-0.47469227760863
6e-05,17.780623695291,15.910718862268,1.8699048330234,0.0,-0.86408989061912,128.03388292076,114.633463902,13.400419018761,0.0,-1.5596050954325,-145.81450661595,-130.54288590506,-15.271620710883,0.0,-0.0027894227489
8e-05,20.347334639343,18.211584646363,2.1357499929799,0.0,11.34946963796,127.59973610534,114.32613721821,13.273598887133,0.0,-1.6700232578824,-147.94707074456,-132.53771493469,-15.409355809868,0.0,-9.7564155833007
0.0001,22.789893601943,20.403175976593,2.3867176253496,0.0,10.815548022158,127.20204450793,114.07588455711,13.126159950816,0.0,-1.7368421916551,-149.99193810973,-134.47904976046,-15.512888349272,0.0,-9.1556750685844
0.00012,25.092027498016,22.471266140833,2.620761357183,0.0,10.216682155156,126.84238604444,113.88373314821,12.958652896234,0.0,-1.8006118861899,-151.9344135423,-136.35498468952,-15.579428852785,0.0,-8.4930395663809
0.00014,27.238479697073,24.402394843011,2.8360848540613,0.0,9.557406814681,126.52185888341,113.75048219281,12.7713766906,0.0,-1.8635264874989,-153.76033858031,-138.15285863196,-15.607479948355,0.0,-7.7708497083088
0.00016,29.215110030009,26.184078455054,3.0310315749551,0.0,8.8426812222403,126.24109087214,113.67648381372,12.564607058426,0.0,-1.9277287912751,-155.45620090197,-139.86054008732,-15.59566081465,0.0,-6.9919219200573
0.00018,31.008985349513,27.804888826516,3.2040965229968,0.0,8.077846859677,126.00025387359,113.66165630303,12.338597570565,0.0,-1.9952888121939,-157.00923922291,-141.46651920204,-15.542720020877,0.0,-6.1595276686307
0.0002,32.608459961263,29.254523216871,3.3539367443922,0.0,7.2685824172098,125.79908276789,113.70550151271,12.093581255178,0.0,-2.0681835191153,-158.40754272895,-142.95999509228,-15.447547636673,0.0,-5.2773686752009
0.00022,34.003245333811,30.523864835138,3.4793804986726,0.0,6.4208562768081,125.63689882338,113.80712612541,11.829772697969,0.0,-2.1482779475607,-159.64014415698,-144.33095765439,-15.30918650259,0.0,-4.349548285997
0.00024,35.184468590428,31.605033555245,3.5794350351827,0.0,5.5408769542191,125.51263709641,113.96526650283,11.547370593577,0.0,-2.2373078843121,-160.69710568662,-145.57026312863,-15.126842557987,0.0,-3.3805392297365
0.00026,36.144719385453,32.49142646257,3.6532929228823,0.0,4.6350419385128,125.42487747767,114.17831677263,11.246560705045,0.0,-2.3368643004185,-161.5695968629,-146.66970273259,-14.899894130303,0.0,-2.3751480241593
0.00028,36.878084869793,33.177747976676,3.7003368931162,0.0,3.7098853796143,125.37187896594,114.44435978213,10.927519183802,0.0,-2.4483796885513,-162.2499638355,-147.62206373768,-14.627900097816,0.0,-1.3384763262117
0.0003,37.380172554438,33.66002938659,3.7201431678487,0.0,2.7720250818001,125.3516167178,114.76120051907,10.590416198725,0.0,-2.5731164386669,-162.731789272,-148.42118242506,-14.310606846943,0.0,-0.27587954987342
0.00032,37.648120986029,33.935637727165,3.7124832588634,0.0,1.8281092644458,125.36182139519,115.12640157565,10.23541981954,0.0,-2.7121573626724,-163.00994238098,-149.06198842612,-13.947953954853,0.0,0.80707689774816
