channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Isystem,4,positive,1.4698987612086838e-14,7.330820946361138e-09,6.1796174509520884e-09,
Isystem,5,negative,6.004115331168107e-12,1.758437653821632e-08,3.3123147725717557,5.308788195152122e-07
Isystem,6,zero,3.140464032524243e-14,3.5038881213381783e-09,2.7714949017857413e-09,
Isystem,7,positive,2.218029901528483e-11,11.285169278936683,1.3927793894320836e-09,1.2343244099613806e-08
Isystem,8,negative,2.0223267632904937e-14,1.261863119992368e-09,8.674969623795741e-10,
Isystem,9,zero,9.670526989143992e-15,8.99313102267806e-10,6.044077040352127e-10,
Isystem,10,positive,6.042079912575234e-15,6.885062307342777e-10,4.543990714688769e-10,
Isystem,11,negative,1.4292310970087307e-11,5.466046103790388e-10,7.836281645001873,6.9776898903237406e-09
Isystem,12,zero,3.0072314771634157e-14,4.5412686636167056e-10,2.525303042847616e-10,
Isystem,13,positive,1.3162175128440625e-11,6.1496785744568285,2.1521010874595764e-10,3.5060731625339488e-09
Isystem,14,negative,2.3641943772217563e-14,3.278285456650598e-10,1.712455761209124e-10,
Isystem,15,zero,3.2075690527745706e-14,2.857168758239978e-10,1.4297018844888828e-10,
Isystem,16,positive,2.1977435050953365e-14,2.5204639304034357e-10,1.2047832961882826e-10,
Isystem,17,negative,2.6649066728474776e-14,2.2440238592826154e-10,1.0253846220151108e-10,
Isystem,18,zero,2.1941382823655508e-14,2.015473546752693e-10,8.768393032095039e-11,
Isystem,19,positive,1.776418517385474e-14,1.8247620335620492e-10,7.577522313737165e-11,
Isystem,20,negative,2.942498301592096e-14,1.6622115488818787e-10,6.56886416643541e-11,
Isystem,21,zero,2.571708320612763e-14,1.521573058354569e-10,5.725593992931294e-11,
Isystem,22,positive,2.612315955284784e-14,1.4000987318993299e-10,5.02032981687733e-11,
Isystem,23,negative,2.0032750004136497e-14,1.296560321044351e-10,4.42105998594563e-11,
Isystem,24,zero,2.7225401221407277e-14,1.2055944599987243e-10,3.901551133607492e-11,
Isystem,25,positive,1.6946657343159024e-14,1.1219099374818476e-10,3.450947480565642e-11,
Ifilter,1,positive,1.0641733291178202e-12,36.13504260722115,1.963751473979845e-09,5.434480273532597e-09
Ifilter,2,negative,8.670961072874893e-15,2.4333761558921135e-09,2.234376629075157e-09,
Ifilter,3,zero,3.2287623676101247e-14,3.4137339188464884e-09,3.002464171775267e-09,
Ifilter,4,positive,2.0445210124210225e-14,7.297562278390928e-09,6.1560849222405495e-09,
Ifilter,5,negative,3.518423877387642e-11,1.76009034314646e-08,19.53941248163032,9.007915982456573e-08
Ifilter,6,zero,9.841472903980443e-15,3.5601496097917983e-09,2.727183984434011e-09,
Ifilter,7,positive,5.33546118443013e-12,2.7149139333989503,1.3632011252488587e-09,5.0211962512872e-08
Ifilter,8,negative,3.9080971887397705e-15,1.1964864100465235e-09,8.517386654878185e-10,
Ifilter,9,zero,2.2474209827641067e-15,8.678807681618321e-10,5.891279267706735e-10,
Ifilter,10,positive,5.1281675682238405e-15,6.679215631043334e-10,4.3226263881607116e-10,
Ifilter,11,negative,2.1197178561436196e-12,5.360222897939454e-10,1.1637994422722846,4.605832083732006e-08
Ifilter,12,zero,3.338062355058724e-15,4.416969492842061e-10,2.641422534991388e-10,
Ifilter,13,positive,1.8222831737856076e-12,0.8503697353446698,2.1134105204748764e-10,2.4853766475164884e-08
