channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Vpcc,1,positive,2.090860160283311e-11,277.4588491948294,2.1775120792456803e-11,1.0880232657033185e-11
Vpcc,2,negative,9.607399914342465e-12,2.2253457527853316e-12,8.223755193132935e-12,
Vpcc,3,zero,1.3048629330139017,1.6001269072492822e-11,6.110044884396749e-12,1.3126391989789662e-09
Vpcc,4,positive,6.661489162686902e-12,2.5151891825059645e-11,9.267708468461304e-12,
Vpcc,5,negative,2.752761396681382e-12,3.223143145853293e-11,0.6331008315789941,5.1095761674780175e-09
Vpcc,6,zero,1.904334356212103e-12,5.980304695641646e-11,1.0726990338199353e-11,
Vpcc,7,positive,1.1039639821993318e-11,4.984478020498373,1.3229770564041658e-11,3.4568916061902263e-10
Vpcc,8,negative,1.0000435879075998e-12,6.144197749417698e-11,5.856299921212541e-12,
Vpcc,9,zero,7.446357778610932e-13,3.0976211212200813e-11,5.2401236995397465e-12,
Vpcc,10,positive,6.256428878561352e-13,2.109976313695937e-11,4.6700452524908795e-12,
Vpcc,11,negative,5.053570547261022e-13,1.6221210399906077e-11,4.3442244410594575e-12,
Vpcc,12,zero,4.289001643746536e-13,1.3523581379672613e-11,4.160808459658461e-12,
Vpcc,13,positive,1.1768976200203417e-11,5.357901092677331,1.260378458662865e-11,3.218471287968095e-10
Vpcc,14,negative,3.591788355787785e-13,7.882198801263046e-12,3.503902648000877e-12,
Vpcc,15,zero,3.1105870057250263e-13,7.35719380221402e-12,3.2877888218499543e-12,
Vpcc,16,positive,2.5133757950356655e-13,6.736395101901053e-12,3.048675818860894e-12,
Vpcc,17,negative,2.4586700972173866e-13,6.064696389420323e-12,2.992644829161146e-12,
Vpcc,18,zero,2.439362083024309e-13,5.5434827610850976e-12,2.8435734858644815e-12,
Vpcc,19,positive,2.0232150743783588e-13,5.052317173431875e-12,2.737448456646572e-12,
Vpcc,20,negative,1.998609771614366e-13,4.905655317122646e-12,2.6371766439725743e-12,
Vpcc,21,zero,2.2794195458817305e-13,4.346048428999344e-12,2.586385398924873e-12,
Vpcc,22,positive,1.4081294168316193e-13,4.47064930558119e-12,2.4467154530467886e-12,
Vpcc,23,negative,1.7849268256135684e-13,3.881712163014166e-12,2.2772045465917507e-12,
Vpcc,24,zero,1.0237366717426861e-13,3.843869151695617e-12,2.2825605140904953e-12,
Vpcc,25,positive,1.643879389483132e-13,3.4645389716985823e-12,2.1463683557077576e-12,
