case,origin,channel,rms_total,dc,fundamental_rms,harmonic_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct,dc_pct,unmodeled_rms,unmodeled_pct
detuned_285hz,PSCAD_EMTDC,Iload_A,103.56640381881365,1.1234798310290177e-11,99.9999999997614,26.944387170787998,-179.99999998842426,26.944387170852288,1.4968375930184027e-08,6.972707251491739e-08,1.1234798310290176e-11,5.976762755226535e-09,5.976762755226535e-09
detuned_285hz,PSCAD_EMTDC,Isystem_A,108.61230009530819,4.169281129336742e-10,107.5761726548038,14.966589756425764,-160.25883201412475,13.912550880994216,3.823802570780536e-07,0.0021776172244492745,3.8756555187874835e-10,3.0338048037667064e-08,2.8201461992832563e-08
detuned_285hz,PSCAD_EMTDC,Ifilter_A,39.11097437478731,-4.0566304550284066e-10,36.35780177556087,14.414526235512827,88.0238939915015,39.64630844431865,1.0618809898860421e-06,0.006443211783953872,1.1157538713771048e-09,3.062798566613355e-08,8.424058823773653e-08
detuned_285hz,PSCAD_EMTDC,Ilinear_A,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
detuned_285hz,PSCAD_EMTDC,Vpcc_A,278.14726288859885,-0.22970816906621178,277.9685175204353,9.967464776360357,-1.723673735767045,3.585825065828752,5.227217640859924e-08,0.0004208787257230576,0.08263819837665862,1.0324792268308115e-08,3.7143747875170337e-09
detuned_285hz,PSCAD_EMTDC,Iload_B,103.56640381869379,-7.1976634732345335e-12,99.999999999698,26.944387170562024,60.00000001176914,26.94438717064339,1.4968338524800426e-08,6.973437116178281e-08,7.197663473234533e-12,5.97681940015905e-09,5.976819400159049e-09
detuned_285hz,PSCAD_EMTDC,Isystem_B,108.612300095464,-1.2053687873821824e-10,107.57617265492236,14.966589756703033,79.74116798629935,13.912550881236625,2.976822874216892e-07,0.0021776182840688,1.1204795378562278e-10,2.2990534659127867e-08,2.1371404270284464e-08
detuned_285hz,PSCAD_EMTDC,Ifilter_B,39.1109743748069,1.1334777730494962e-10,36.35780177600942,14.414526234434678,-31.976106008325786,39.646308440864146,8.266721244775342e-07,0.006443215452212232,3.117568206964071e-10,2.259276443503574e-08,6.214015465040821e-08
detuned_285hz,PSCAD_EMTDC,Ilinear_B,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
detuned_285hz,PSCAD_EMTDC,Vpcc_B,278.1471767891467,-0.0697797243567113,277.96851752040993,9.967464776384652,-121.72367373582492,3.58582506583782,3.721761828208944e-08,0.0004208787291317789,0.025103463788422434,7.853175126327555e-09,2.8252031550041907e-09
detuned_285hz,PSCAD_EMTDC,Iload_C,103.56640381871966,-4.095754612755835e-12,99.99999999970977,26.94438717061748,-59.999999988581116,26.944387170695684,1.4968322661954093e-08,6.980596156560645e-08,4.095754612755834e-12,5.9767558732913715e-09,5.976755873291371e-09
detuned_285hz,PSCAD_EMTDC,Isystem_C,108.6123000954502,-2.963685678821852e-10,107.57617265508674,14.9665897554212,-40.25883201416278,13.912550880023806,3.618400774090202e-07,0.0021776158012445147,2.754965280766412e-10,2.73479907013351e-08,2.5421982303754874e-08
detuned_285hz,PSCAD_EMTDC,Ifilter_C,39.11097437564442,2.922924242489363e-10,36.35780177587477,14.414526237046822,-151.9761060090206,39.64630844819552,1.0048402471473322e-06,0.006443207999590631,8.03934219656856e-10,2.708057827610228e-08,7.4483639527082e-08
detuned_285hz,PSCAD_EMTDC,Ilinear_C,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
detuned_285hz,PSCAD_EMTDC,Vpcc_C,278.1472126579054,0.157553019295919,277.96851752013805,9.967464776195618,118.27632626421395,3.5858250657733213,4.486082317262306e-08,0.00042087874242146634,0.056680168216676624,9.390464668852629e-09,3.3782476492160264e-09
