time_s,Iload_A,Isystem_A,Ifilter_A,Ilinear_A,Vpcc_A,Iload_B,Isystem_B,Ifilter_B,Ilinear_B,Vpcc_B,Iload_C,Isystem_C,Ifilter_C,Ilinear_C,Vpcc_C
0.0,9.5112203510261,7.8426438834703,1.6685764675558,0.0,0.15133594188449,129.53202534053,106.80790779291,22.724117547622,0.0,2.0610237525409,-139.0432456915,-114.65055167633,-24.392694015167,0.0,-2.2123596944243
2e-05,12.344260532988,10.178946286763,2.1653142462246,0.0,-0.28744291636845,129.0028111194,106.37788944895,22.624921670453,0.0,2.2211146033265,-141.34707165231,-116.55683573565,-24.790235916665,0.0,-1.9336716869586
4e-05,15.10694162421,12.458864616781,2.648077007429,0.0,-0.87221201535177,128.50242296935,106.00127332656,22.501149642788,0.0,2.420254252233,-143.60936459347,-118.46013794327,-25.149226650201,0.0,-1.5480422368808
6e-05,17.780623695291,14.66747477046,3.1131489248316,0.0,-1.599528590684,128.03388292076,105.68248458189,22.351398338871,0.0,-1.8694332676309,-145.81450661595,-120.34828745354,-25.466219162411,0.0,-1.03983731888
8e-05,20.347334639343,16.790550745619,3.5567838937243,0.0,20.910047016028,127.59973610534,105.4199466809,22.179789424435,0.0,-1.6697765007473,-147.94707074456,-122.21048843085,-25.736582313708,0.0,-19.382150323668
0.0001,22.789893601943,18.813943626294,3.9759499756489,0.0,19.915277898978,127.20204450793,105.21724277008,21.984801737844,0.0,-1.423176745208,-149.99193810973,-124.03117192073,-25.960766189001,0.0,-18.633981028293
0.00012,25.092027498016,20.72476951741,4.3672579806066,0.0,18.797477756735,126.84238604444,105.0752900846,21.767095959838,0.0,-1.1690634937313,-151.9344135423,-125.80003966685,-26.134373875454,0.0,-17.770294261735
0.00014,27.238479697073,22.510781525415,4.7276981716578,0.0,17.564921535743,126.52185888341,104.99477541621,21.5270834672,0.0,-0.91153696491791,-153.76033858031,-127.50553157315,-26.25480700716,0.0,-16.795264751656
0.00016,29.215110030009,24.160623315283,5.0544867147255,0.0,16.226655868333,126.24109087214,104.97597311768,21.265117754458,0.0,-0.65460190728611,-155.45620090197,-129.13656566312,-26.319635238849,0.0,-15.713934381624
0.00018,31.008985349513,25.663900674048,5.3450846754643,0.0,14.792422006377,126.00025387359,105.01875740347,20.981496470119,0.0,-0.40212843131704,-157.00923922291,-130.68262194391,-26.326617279005,0.0,-14.532174292715
0.0002,32.608459961263,27.011244967093,5.59721499417,0.0,13.272573534971,125.79908276789,105.12261843461,20.676464333283,0.0,-0.15781498447923,-158.40754272895,-132.13382194756,-26.273720781387,0.0,-13.256639622195
0.00022,34.003245333811,28.194368018548,5.8088773152623,0.0,11.677989604274,125.63689882338,105.28668194682,20.350216876557,0.0,0.074846144408551,-159.64014415698,-133.48100323954,-26.159140917439,0.0,-11.894717230969
0.00024,35.184468590428,29.206108023639,5.978360566789,0.0,10.019984453061,125.51263709641,105.5097321441,20.002904952306,0.0,0.29260043542223,-160.69710568662,-134.71578822457,-25.981317462048,0.0,-10.454466837412
