case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Iload_theory_error_pct,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Isystem_theory_error_pct,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ifilter_theory_error_pct,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Ilinear_theory_error_pct,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,Vpcc_theory_error_pct,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
detuned_285hz,PSCAD_EMTDC,A,1,60.0,positive,99.9999999997614,-179.99999998842426,-99.9999999997614,-2.020348338200412e-08,2.0204880004693435e-08,107.5761726548038,-160.25883201412475,-101.25371585818769,-36.336179600579186,4.4643448368539656e-05,36.35780177556087,88.0238939915015,1.2537158584263897,36.33617958037564,0.0001320366515431793,0.0,,0.0,0.0,,277.9685175204353,-1.723673735767045,277.84274153627706,-8.361082951034842,4.420886678738378e-06,36.35780177564762,107.57617265506047,-1.2537158657705552,101.25371586577046,-0.0,1.1495736209346793e-13,1.1495736209374223e-13,-9.992007221626409e-14,5.684341886080802e-14
detuned_285hz,PSCAD_EMTDC,A,2,120.0,negative,5.845434350146845e-11,,5.579229346385273e-11,1.7439330957092424e-11,,7.536560374671219e-10,,9.038205836563977e-11,7.482168845570339e-10,,7.316332958897549e-10,,-3.461512189499478e-11,-7.308139797449829e-10,,0.0,,0.0,0.0,,6.846020907275272e-11,,-6.547159945314646e-11,2.0006746145532134e-11,,,,,,,4.438289250507731e-14,,2.5356993207736142e-14,3.642614504144065e-14
detuned_285hz,PSCAD_EMTDC,A,3,180.0,zero,2.061040366958372e-11,,-6.534724813041871e-12,1.9547023073629524e-11,,1.1357582414313157e-09,,7.763416367509446e-11,1.1331018134349727e-09,,1.1167239663937704e-09,,-8.41720286730537e-11,-1.1135472539175415e-09,,0.0,,0.0,0.0,,1.364615731464459e-10,,-1.3578913227077454e-10,1.3530428771953299e-11,,,,,,,8.164480785019187e-15,,3.1401849173664648e-15,-7.536443801534759e-15
detuned_285hz,PSCAD_EMTDC,A,4,240.0,positive,1.1221713431077715e-10,,-1.0968163486778073e-10,2.3719700791827525e-11,,4.06719121580944e-09,,7.374730558807526e-10,3.999772228240925e-09,,4.065295201368261e-09,,-8.471283131952273e-10,-3.976053155486081e-09,,0.0,,0.0,0.0,,1.2250780384073277e-09,,-1.197525219162702e-09,2.583593421133986e-10,,,,,,,2.6385028877331432e-14,,-2.6377553305888644e-14,6.280369834784628e-16
detuned_285hz,PSCAD_EMTDC,A,5,300.0,negative,20.00000000014253,-1.9975293131137875e-07,20.00000000014253,-6.972692683836958e-08,3.486353625745869e-07,6.37750174039182,-5.445654116894674,6.3487179173993145,-0.6052348750638906,0.036745298812203446,13.66469215431564,2.5385678484309753,13.651282082743148,0.6052348053369939,0.01714058190548889,0.0,,0.0,0.0,,2.407713596350345,81.51764697658531,0.35514928689198083,2.381376439387614,0.039653210736868554,68.32346077109129,31.887508701731853,68.25641040267901,31.743589597320643,0.0,7.552919940034709e-14,3.7764599699904415e-13,6.927791673660977e-14,-3.008704396734174e-14
detuned_285hz,PSCAD_EMTDC,A,6,360.0,zero,4.015174245898104e-10,,3.9679549326026816e-10,6.139689550437033e-11,,6.225558738430834e-10,,2.339148866426427e-10,-5.769398944981052e-10,,6.588363680589507e-10,,1.6291404958699542e-10,6.383763563324343e-10,,0.0,,0.0,0.0,,3.1674606511450006e-10,,3.056367101553175e-10,8.315209661189272e-11,,,,,,,5.180662763286414e-14,,-3.34429693699438e-14,-3.9566329958832966e-14
detuned_285hz,PSCAD_EMTDC,A,7,420.0,positive,14.000000000108974,20.00000023570583,13.15569667140688,4.788282060717101,4.113850189080183e-07,10.04139851670448,20.20623194209209,9.423405262484657,3.4683018078378605,0.00280093588994632,3.958831523203026,19.476896628914638,3.732291408922255,1.3199802528792306,0.007103724159237183,0.0,,0.0,0.0,,5.303836367650204,108.03622788255525,-1.6421647022175043,5.043210813122906,0.008599865049896077,28.27736802265865,71.72427511875942,28.27618950488708,71.72381049511311,0.0,3.441333221242959e-14,2.4580951580115515e-13,-3.2862601528904634e-14,1.021405182655144e-14
detuned_285hz,PSCAD_EMTDC,A,8,480.0,negative,8.286376470709257e-11,,-6.100248827874897e-11,-5.608119047625055e-11,,2.8611593180717856e-10,,-6.383619114818145e-11,-2.789036879167841e-10,,2.2284751212778916e-10,,2.7909963545562785e-12,2.2283003388433523e-10,,0.0,,0.0,0.0,,1.8928256003369075e-10,,1.8475340765030328e-10,-4.115903174891995e-11,,,,,,,4.336639710705788e-14,,4.2706514876199027e-14,-7.536443801689855e-15
detuned_285hz,PSCAD_EMTDC,A,9,540.0,zero,2.8866123657068768e-11,,4.970284687209358e-12,-2.8435002463746636e-11,,1.9466367385725144e-10,,-1.1941495203765318e-11,-1.9429705765116673e-10,,1.6668821655925397e-10,,1.6914292038908572e-11,1.6582782717182077e-10,,0.0,,0.0,0.0,,1.5791364502136153e-10,,1.5791361912457935e-10,9.043732562018544e-14,,,,,,,3.432008069787873e-14,,-2.5121479338944643e-15,3.422801559931773e-14
detuned_285hz,PSCAD_EMTDC,A,10,600.0,positive,4.300546334188257e-11,,3.6903453148903444e-11,-2.208178033892861e-11,,1.5020080987442574e-10,,1.4959840946339008e-11,-1.4945396095719117e-10,,1.2919438972963954e-10,,2.2025257010415993e-11,1.2730309655008048e-10,,0.0,,0.0,0.0,,1.0548350526210099e-10,,1.0548006744834294e-10,8.516181495900795e-13,,,,,,,1.0695084443661529e-13,,-8.164480785155716e-14,6.908406818208807e-14
