channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,1.95776700047773e-10,99.99999999972306,1.5791571371293912e-10,2.515271136864037e-10
Iload,2,negative,1.517142319959698e-14,1.1902217572898547e-10,6.29909391050412e-11,
Iload,3,zero,7.522620125208794e-15,9.415442979530775e-11,9.973518881986236e-11,
Iload,4,positive,2.3817612014337768e-14,9.575224934306666e-11,2.0352886879867554e-10,
Iload,5,negative,3.598130145222017e-11,8.251039913417774e-11,20.000000000029228,4.500727724338915e-10
Iload,6,zero,1.0562235501086777e-14,1.9696923054773109e-10,2.0857123058870145e-10,
Iload,7,positive,2.7534399896530156e-11,14.000000000007054,8.463416469663167e-11,6.35717697083569e-10
Iload,8,negative,2.6160670115362367e-14,1.4893759687246158e-10,7.610550964519384e-11,
Iload,9,zero,2.931138306183345e-14,6.640046207819132e-11,6.458597667862378e-11,
Iload,10,positive,2.8999808541917414e-14,3.986508591425505e-11,7.167018141809568e-11,
Iload,11,negative,1.6399160803860187e-11,3.96230581155666e-11,9.000000000058861,4.764735699892687e-10
Iload,12,zero,1.7794381198414922e-14,2.0849791873961505e-11,1.3443147238185557e-11,
Iload,13,positive,1.5005767488542803e-11,6.999999999984034,7.367975273968696e-12,2.388151524776386e-10
Iload,14,negative,2.1889388952414025e-14,1.0543171438033671e-11,8.999808695619525e-12,
Iload,15,zero,1.3865225808319045e-14,8.997740493027091e-12,9.269153346495234e-12,
Iload,16,positive,2.5341203650493153e-14,7.76652508362796e-12,9.074741380533024e-12,
Iload,17,negative,1.4908071761450564e-14,6.54980510840847e-12,8.794029037906723e-12,
Iload,18,zero,5.617333549722465e-15,5.729164792572636e-12,8.213198084266648e-12,
Iload,19,positive,1.3956667029607088e-14,5.167620934434543e-12,7.762819717538572e-12,
Iload,20,negative,1.613218534212622e-14,4.696536483521783e-12,7.2475773462500144e-12,
Iload,21,zero,2.38810237143226e-14,4.139407925571723e-12,6.935273073776504e-12,
Iload,22,positive,2.5415513838182058e-14,3.665079394139066e-12,6.516108604164159e-12,
Iload,23,negative,1.942294558297032e-14,3.5433401287974386e-12,6.2417377689631575e-12,
Iload,24,zero,2.763442023744644e-14,3.4037297541747817e-12,5.807443755137229e-12,
Iload,25,positive,2.531611462855657e-14,3.0953561026570774e-12,5.51027268463377e-12,
Isystem,1,positive,1.9766623629143437e-10,107.57617265493764,3.592164273679344e-10,3.8113479268735915e-10
Isystem,2,negative,7.779663339280608e-15,5.046189551950102e-10,2.4945128732555195e-10,
Isystem,3,zero,2.3992921647525918e-14,8.599675480347102e-10,2.798001783492603e-10,
Isystem,4,positive,7.282100183046883e-15,3.447149996830785e-09,6.649526901465814e-10,
Isystem,5,negative,1.1430216939997522e-11,1.5494124494809827e-09,6.377501739890979,2.429563602175598e-08
Isystem,6,zero,2.6033039945354184e-14,6.173678217950356e-10,2.5099006745333066e-11,
Isystem,7,positive,1.9778504865774205e-11,10.04139851668266,2.4223069307922638e-11,3.114320537367144e-10
Isystem,8,negative,1.4814811307445386e-14,3.303043673717766e-10,4.4175674157852964e-11,
Isystem,9,zero,3.684844175007859e-14,2.409901032489235e-10,4.7323585128127304e-11,
Isystem,10,positive,2.4713652086768617e-14,1.9335012134224672e-10,5.1018235840950557e-11,
Isystem,11,negative,1.2996381439961131e-11,1.5867354093443508e-10,7.134837630847667,2.2313737609912384e-09
Isystem,12,zero,1.945739538576013e-14,1.3967574965150459e-10,5.92431305794442e-11,
Isystem,13,positive,1.2039013271003623e-11,5.620559429290176,4.478633640408478e-11,8.251175074157658e-10
Isystem,14,negative,2.7926941170450557e-14,1.0825808873470842e-10,4.6672454574035835e-11,
Isystem,15,zero,2.554017066125634e-14,9.774872876437208e-11,4.422501821051713e-11,
Isystem,16,positive,1.3791638493877582e-14,8.911294403183841e-11,4.228012392561479e-11,
Isystem,17,negative,4.66279099355555e-14,8.17032766726106e-11,4.0474684688748725e-11,
Isystem,18,zero,2.214319033474321e-14,7.544404630206526e-11,3.9161030763073925e-11,
Isystem,19,positive,2.431137751826177e-14,7.016187555522417e-11,3.753542539987436e-11,
Isystem,20,negative,2.428122027699404e-14,6.555289933692132e-11,3.621828240452851e-11,
Isystem,21,zero,1.2389036607936884e-14,6.135222689890164e-11,3.504662774538063e-11,
Isystem,22,positive,2.3602504788793248e-14,5.768081064460973e-11,3.378281702611446e-11,
Isystem,23,negative,1.695570624737316e-14,5.463110042797283e-11,3.2716522826795133e-11,
Isystem,24,zero,1.0053497077207964e-14,5.186315124428675e-11,3.164474333020608e-11,
Isystem,25,positive,8.943250564994103e-15,4.910358453940373e-11,3.075603387779983e-11,
Ifilter,1,positive,1.928533135730775e-12,36.35780177581503,2.654138201193939e-10,7.300244061958199e-10
Ifilter,2,negative,6.7386564411371576e-15,4.957930530641806e-10,2.615515216750291e-10,
Ifilter,3,zero,1.8736729053515765e-14,8.488333337795732e-10,3.1193969574394964e-10,
Ifilter,4,positive,1.9396979821287953e-14,3.418296878644052e-09,7.829796961697557e-10,
Ifilter,5,negative,2.456539303225264e-11,1.5623064848956895e-09,13.664692154493034,1.1434575956373929e-08
Ifilter,6,zero,8.631542732204836e-15,6.392137539319407e-10,1.8374559882047137e-10,
Ifilter,7,positive,7.789238928342437e-12,3.9588315231222375,9.644350070095479e-11,2.44409333848872e-09
Ifilter,8,negative,4.762613791343877e-15,2.712504030398773e-10,7.77445445747698e-11,
Ifilter,9,zero,4.3937659672541325e-15,2.1317876153198514e-10,6.789149428231356e-11,
