case,origin,channel,rms_total,dc,fundamental_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct
detuned_285hz,ANALYTICAL_REFERENCE,Iload_A,103.56640381899916,-7.995822135811399e-16,99.99999999999997,-179.99999999999935,26.944387170614977,3.829589539386987e-12,8.431863494757606e-12
detuned_285hz,ANALYTICAL_REFERENCE,Isystem_A,108.6121117396447,6.557630112404435e-16,107.57615348231785,-160.2588554662657,13.911410787430183,9.738088187773137e-13,5.737786703683171e-12
detuned_285hz,ANALYTICAL_REFERENCE,Ifilter_A,39.11177930424577,-2.538922896855705e-15,36.35775379404744,88.02389638572511,39.65270020959623,2.557516840666039e-12,5.016736864763132e-12
detuned_285hz,ANALYTICAL_REFERENCE,Ilinear_A,0.0,0.0,0.0,0.0,,0.0,0.0
detuned_285hz,ANALYTICAL_REFERENCE,Vpcc_A,278.1471012690643,-2.6179852978555684e-14,277.968510420834,-1.7236716682856261,3.5852260536063323,4.0831342034979135e-13,1.5150998346596918e-12
detuned_285hz,ANALYTICAL_REFERENCE,Iload_B,103.56640381899913,-1.6569395913832503e-14,100.0,59.99999999999867,26.94438717061501,1.6983970470868824e-12,5.180878390576231e-12
detuned_285hz,ANALYTICAL_REFERENCE,Isystem_B,108.61211173964486,-1.6908636738087915e-14,107.57615348231784,79.74114453373235,13.911410787430247,1.1591680741558047e-12,3.3040194135890357e-12
detuned_285hz,ANALYTICAL_REFERENCE,Ifilter_B,39.11177930424576,1.973489116504453e-15,36.35775379404742,-31.976103614275505,39.65270020959634,9.082806454924439e-13,4.461455337322423e-12
detuned_285hz,ANALYTICAL_REFERENCE,Ilinear_B,0.0,0.0,0.0,0.0,,0.0,0.0
detuned_285hz,ANALYTICAL_REFERENCE,Vpcc_B,278.14710126906414,2.8307245112875767e-14,277.9685104208339,-121.72367166828641,3.585226053606409,6.88872254315395e-13,1.7152588220809265e-12
detuned_285hz,ANALYTICAL_REFERENCE,Iload_C,103.56640381899916,8.362848951654006e-15,99.99999999999986,-59.999999999998636,26.94438717061498,1.4424825057554528e-12,6.2702601154040195e-12
detuned_285hz,ANALYTICAL_REFERENCE,Isystem_C,108.6121117396451,8.294795086334162e-15,107.57615348231806,-40.25885546626497,13.911410787430123,1.4082222961226237e-12,3.64775702898762e-12
detuned_285hz,ANALYTICAL_REFERENCE,Ifilter_C,39.11177930424576,2.412844893328442e-15,36.35775379404749,-151.9761036142762,39.65270020959618,1.4517431370410937e-12,6.7647478853286014e-12
detuned_285hz,ANALYTICAL_REFERENCE,Ilinear_C,0.0,0.0,0.0,0.0,,0.0,0.0
detuned_285hz,ANALYTICAL_REFERENCE,Vpcc_C,278.1471012690642,-1.3833583705969375e-14,277.9685104208336,118.27632833171504,3.5852260536063443,1.2923939885075262e-12,2.68818777446984e-12
