case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
low_quality,ANALYTICAL_REFERENCE,A,1,60.0,positive,99.99999999999997,-179.99999999999935,-99.99999999999997,-1.1681487892607286e-12,107.71785423117035,-160.38510280019125,-101.46700888734901,-36.1605064624695,36.19025203971392,87.67682044060503,1.467008887348269,36.160506462471716,0.0,,0.0,0.0,277.95138898270943,-1.7263701081660208,277.82522698813557,-8.373642362102581,36.190252039713926,107.71785423117038,-1.4670088873486917,101.46700888734948,-0.0,3.468639361669336e-12,3.468639361669337e-12,7.696066006701585e-13,-3.382183422218077e-12
low_quality,ANALYTICAL_REFERENCE,A,2,120.0,negative,9.820699276137158e-14,,-3.5170071074516555e-14,9.169339958713246e-14,8.651423159652382e-14,,-3.7682219008410597e-14,7.787658595071524e-14,1.9479273482635503e-14,,1.946914648767881e-14,-6.2803698347351e-16,0.0,,0.0,0.0,2.879232793781456e-13,,1.4068028429806622e-13,-2.5121479338940397e-13,,,,,,2.2275401441590592e-14,,-1.695699855378477e-14,1.4444850619890727e-14
low_quality,ANALYTICAL_REFERENCE,A,3,180.0,zero,1.1535382849852892e-13,,9.42055475210265e-14,6.657192024819206e-14,1.1998629721882187e-13,,8.79251776862914e-14,8.164480785155629e-14,1.632896157031126e-14,,-1.632896157031126e-14,0.0,0.0,,0.0,0.0,3.924100517305099e-13,,-3.8184648595189405e-13,-9.043732562018544e-14,,,,,,2.7173034561617643e-14,,2.260933140504636e-14,-1.5072887603364236e-14
low_quality,ANALYTICAL_REFERENCE,A,4,240.0,positive,1.289190287802731e-13,,1.2309524876080795e-13,-3.8310255991884105e-14,8.271273300120861e-14,,8.038873388460928e-14,-1.946914648767881e-14,3.3796126199946265e-14,,3.320745550116184e-14,-6.2803698347351e-15,0.0,,0.0,0.0,3.421247770022309e-13,,-3.4165211900958944e-13,-1.797755865192922e-14,,,,,,1.5748152591801915e-14,,9.499059375036834e-15,-1.2560739669470195e-14
low_quality,ANALYTICAL_REFERENCE,A,5,300.0,negative,20.00000000000001,6.038093139528569e-12,20.00000000000001,2.1076921165370993e-12,4.102195869940084,-75.14414592558113,1.0517543366219912,-3.965075506311363,19.358663112169815,11.819065420989006,18.948245663377598,3.9650755063146494,0.0,,0.0,0.0,1.548666162408061,11.819065420987513,1.5158333365190346,0.31720053355138306,96.79331556084902,20.510979349700406,94.74122831689003,5.258771683107864,0.0,1.252144158406406e-12,6.2607207920320265e-12,4.227729277772596e-13,-1.1786127629420662e-12
low_quality,ANALYTICAL_REFERENCE,A,6,360.0,zero,9.636889339578156e-14,,-7.567845650855795e-14,5.966351342998344e-14,5.5406469519099076e-14,,-5.5267254545668874e-14,-3.925231146709437e-15,6.18544694449957e-14,,-3.014577520672848e-14,5.4011180578721856e-14,0.0,,0.0,0.0,3.0380376217364123e-13,,2.7884842066223843e-13,-1.2058310082691391e-13,,,,,,1.3656194505604573e-14,,9.734573243839402e-15,9.577563997971017e-15
low_quality,ANALYTICAL_REFERENCE,A,7,420.0,positive,14.000000000000012,20.00000000001416,13.155696691001546,4.788282006562618,9.459858263194034,19.351159644641843,8.925427900230554,3.1345901099675633,4.5420117713447885,21.35146628946207,4.23026879077102,1.653691896594803,0.0,,0.0,0.0,4.996379001532141,107.18102976462117,-1.4758891259272926,4.773421667412265,32.44294122389132,67.5704161656716,32.43391647227378,67.5660835277258,0.0,2.528580162228657e-13,1.806128687306182e-12,-2.7533531010703882e-14,2.5135449277513544e-13
low_quality,ANALYTICAL_REFERENCE,A,8,480.0,negative,1.0965721766439742e-13,,6.877004969034935e-14,8.541302975239736e-14,1.2611038926158386e-13,,1.0111395433923511e-13,7.536443801682119e-14,3.013432444111759e-14,,-2.51214793389404e-14,-1.6642980062048014e-14,0.0,,0.0,0.0,2.3188431818834713e-13,,1.8841109504205298e-14,-2.311176099182517e-13,,,,,,2.765146347637799e-14,,-7.222425309945364e-15,2.669157179762418e-14
low_quality,ANALYTICAL_REFERENCE,A,9,540.0,zero,1.1044883448157216e-13,,-1.0551021322354968e-13,3.265792314062252e-14,7.105427357601e-14,,-7.034014214903311e-14,1.004859173557616e-14,1.6898746926621696e-14,,1.25607396694702e-14,-1.130466570252318e-14,0.0,,0.0,0.0,9.205884700778346e-14,,3.014577520672848e-14,8.698312221108113e-14,,,,,,5.855245079491138e-14,,-4.773081074398677e-14,3.391399710756954e-14
low_quality,ANALYTICAL_REFERENCE,A,10,600.0,positive,1.2727011026514838e-13,,5.966351342998344e-14,1.1241862004175828e-13,6.451685490163533e-14,,-3.328596012409603e-14,5.5267254545668874e-14,1.0802966366623404e-13,,9.922984338881458e-14,-4.270651487619868e-14,0.0,,0.0,0.0,1.2538739107683342e-13,,-2.3865405371993378e-14,-1.2309524876080795e-13,,,,,,1.000551813636218e-13,,-6.2803698347351005e-15,9.985788037228809e-14
low_quality,ANALYTICAL_REFERENCE,A,11,660.0,negative,8.999999999999941,-10.000000000005835,8.863269777109656,-1.5628335990032658,6.9393790485680436,-10.059403823342404,6.8327012696634535,-1.2120952682213404,2.0606372412707175,-9.799951974829451,2.030568507446047,-0.3507383307825453,0.0,,0.0,0.0,5.757058536619431,78.55921139099992,1.1419421571785693,5.64266702045416,22.895969347452564,77.10421165075654,22.89582979037375,77.10417020962575,0.0,6.389744714885027e-13,7.099716349872299e-12,1.5498713423767185e-13,6.198930257994562e-13
low_quality,ANALYTICAL_REFERENCE,A,12,720.0,zero,4.52883909360294e-14,,-1.507288760336424e-14,4.270651487619868e-14,1.2060926619574241e-13,,-1.2058310082691391e-13,-2.51214793389404e-15,4.029360185634929e-14,,-2.826166425630795e-15,4.019436694230464e-14,0.0,,0.0,0.0,3.4166135472274944e-13,,3.4165211900958944e-13,-2.51214793389404e-15,,,,,,1.0845282248267418e-13,,1.0833637964918047e-13,5.024295867788083e-15
low_quality,ANALYTICAL_REFERENCE,A,13,780.0,positive,7.0000000000000435,30.000000000069008,6.062177826486892,3.500000000007323,5.483671415060252,29.973142316800114,4.750283478850597,2.7396092894622726,1.516331366174027,30.09712835754083,1.311894347637878,0.7603907105422697,0.0,,0.0,0.0,5.3760868898550465,118.80421394328769,-2.590296092678078,4.710910357831911,21.661876659628824,78.33816307228882,21.661845534382067,78.33815446561765,0.0,3.19954010810429e-12,4.5707715830061e-11,-1.5825118993006981e-12,2.7807756097786296e-12
low_quality,ANALYTICAL_REFERENCE,A,14,840.0,negative,1.1519129679046948e-13,,1.1241862004175828e-13,2.51214793389404e-14,1.8794157574144156e-13,,1.1555880495912584e-13,1.4821672809974835e-13,3.3482382739766443e-14,,-3.1401849173675496e-14,-1.1618684194259935e-14,0.0,,0.0,0.0,4.765406241946042e-13,,-3.215549355384371e-13,-3.517007107451656e-13,,,,,,1.1500324392857803e-13,,2.8261664256307933e-14,-1.1147656456654802e-13
low_quality,ANALYTICAL_REFERENCE,A,15,900.0,zero,1.132209773400735e-14,,-3.76822190084106e-15,1.067662871904967e-14,8.050885434378285e-14,,8.038873388460928e-14,4.396258884314569e-15,8.819895687590385e-14,,-6.029155041345696e-14,6.437379080603477e-14,0.0,,0.0,0.0,3.679782254171932e-14,,-3.265792314062252e-14,-1.695699855378477e-14,,,,,,6.280448338867385e-14,,-2.3865405371993384e-14,-5.809342097129967e-14
low_quality,ANALYTICAL_REFERENCE,A,16,960.0,positive,1.0409511705222208e-13,,1.0299806528965563e-13,-1.507288760336424e-14,1.5150147490473668e-13,,9.797376942186756e-14,-1.1555880495912584e-13,1.1732699091047487e-13,,4.270651487619868e-14,1.0927843512439073e-13,0.0,,0.0,0.0,3.6577426033755243e-13,,-2.9140916033170863e-13,2.210690181826755e-13,,,,,,3.869441817768398e-14,,-3.768221900841061e-14,-8.792517768629123e-15
low_quality,ANALYTICAL_REFERENCE,A,17,1020.0,negative,5.96734289794683e-14,,3.893829297535762e-14,-4.521866281009272e-14,8.673279421411239e-14,,8.541302975239736e-14,-1.507288760336424e-14,1.7610251087506112e-14,,-1.130466570252318e-14,1.3502795144680464e-14,0.0,,0.0,0.0,2.1504925414350218e-13,,-1.3063169256249008e-13,1.7082605950479472e-13,,,,,,5.6054719632769926e-14,,-3.5170071074516555e-14,-4.3648570351408946e-14
low_quality,ANALYTICAL_REFERENCE,A,18,1080.0,zero,3.5198097273142463e-14,,-3.391399710756954e-14,9.420554752102649e-15,5.849853508292962e-14,,5.65233285126159e-14,1.507288760336424e-14,4.262801025326449e-14,,-4.262801025326449e-14,0.0,0.0,,0.0,0.0,1.4537937051962132e-13,,-1.3816813636417219e-13,4.521866281009272e-14,,,,,,4.814228393538423e-14,,-4.780931536692095e-14,-5.65233285126159e-15
low_quality,ANALYTICAL_REFERENCE,A,19,1140.0,positive,1.7931968162647086e-13,,1.1430273099217881e-13,1.3816813636417219e-13,1.1259916726473646e-13,,7.034014214903311e-14,8.79251776862914e-14,4.1268126317229786e-14,,3.014577520672848e-14,2.818315963337376e-14,0.0,,0.0,0.0,3.2045398608544476e-13,,-2.4116620165382783e-13,-2.1102042644709936e-13,,,,,,2.602958072938399e-14,,1.3816813636417225e-14,2.205979904450703e-14
low_quality,ANALYTICAL_REFERENCE,A,20,1200.0,negative,1.805234928290453e-13,,1.2811954462859604e-13,1.2717748915338577e-13,1.1580429779916287e-13,,4.7730810743986756e-14,1.0551021322354968e-13,9.066383310010084e-14,,8.918125165323841e-14,1.632896157031126e-14,0.0,,0.0,0.0,4.246941927666684e-13,,-1.8589894710815895e-13,-3.8184648595189405e-13,,,,,,1.0286202842291605e-14,,-8.792517768629123e-15,5.338314359524834e-15
low_quality,ANALYTICAL_REFERENCE,A,21,1260.0,zero,9.607198689254525e-14,,5.063548179255174e-14,-8.164480785155629e-14,7.550039007268128e-14,,5.4011180578721856e-14,-5.275510661177484e-14,4.089480552672362e-14,,-4.019436694230464e-14,-7.53644380168212e-15,0.0,,0.0,0.0,1.0055507575594317e-13,,-4.584669979356623e-14,8.949527014497517e-14,,,,,,4.2562611856056236e-14,,3.681866815613452e-14,-2.1353257438099337e-14
