case,origin,channel,rms_total,dc,fundamental_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct
low_quality,ANALYTICAL_REFERENCE,Iload_A,103.56640381899916,-7.995822135811399e-16,99.99999999999997,-179.99999999999935,26.944387170614977,3.829589539386987e-12,8.431863494757606e-12
low_quality,ANALYTICAL_REFERENCE,Isystem_A,108.57107664221991,-2.075865587892493e-15,107.71785423117035,-160.38510280019125,12.611321013175049,1.1591885535355166e-12,3.7225009208741165e-12
low_quality,ANALYTICAL_REFERENCE,Ifilter_A,41.372303993996915,-1.5125968635469085e-15,36.19025203971392,87.67682044060503,55.396883119525256,2.850235188213655e-12,8.896477284850541e-12
low_quality,ANALYTICAL_REFERENCE,Ilinear_A,0.0,0.0,0.0,0.0,,0.0,0.0
low_quality,ANALYTICAL_REFERENCE,Vpcc_A,278.1121767213156,-8.642195141807377e-15,277.95138898270943,-1.7263701081660208,3.4018866195300834,5.354622584615061e-13,1.844855392385606e-12
low_quality,ANALYTICAL_REFERENCE,Iload_B,103.56640381899913,-1.6569395913832503e-14,100.0,59.99999999999867,26.94438717061501,1.6983970470868824e-12,5.180878390576231e-12
low_quality,ANALYTICAL_REFERENCE,Isystem_B,108.57107664221982,-2.192494858792896e-14,107.71785423117012,79.61489719981004,12.611321013175207,2.4256591683572343e-12,5.1566601004648796e-12
low_quality,ANALYTICAL_REFERENCE,Ifilter_B,41.372303993996915,2.389036752298555e-15,36.190252039713904,-32.32317955939558,55.39688311952535,1.1838555643412497e-12,5.143832297705673e-12
low_quality,ANALYTICAL_REFERENCE,Ilinear_B,0.0,0.0,0.0,0.0,,0.0,0.0
low_quality,ANALYTICAL_REFERENCE,Vpcc_B,278.1121767213156,6.480027207126014e-15,277.9513889827095,-121.7263701081668,3.4018866195301762,1.00107578223317e-12,2.4331595544671314e-12
low_quality,ANALYTICAL_REFERENCE,Iload_C,103.56640381899916,8.362848951654006e-15,99.99999999999986,-59.999999999998636,26.94438717061498,1.4424825057554528e-12,6.2702601154040195e-12
low_quality,ANALYTICAL_REFERENCE,Isystem_C,108.57107664221995,1.3058456045116937e-14,107.71785423117022,-40.38510280019055,12.611321013175075,2.9578723890039157e-12,5.509578829439424e-12
low_quality,ANALYTICAL_REFERENCE,Ifilter_C,41.372303993996915,4.203006040122409e-16,36.19025203971396,-152.3231795593963,55.39688311952514,2.0602838009945554e-12,5.3370125646818625e-12
low_quality,ANALYTICAL_REFERENCE,Ilinear_C,0.0,0.0,0.0,0.0,,0.0,0.0
low_quality,ANALYTICAL_REFERENCE,Vpcc_C,278.1121767213156,-5.831437842620748e-15,277.9513889827089,118.27362989183463,3.4018866195301,4.2267314379994886e-13,1.5374936421903415e-12
