case,origin,channel,rms_total,dc,fundamental_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct
weak_grid,ANALYTICAL_REFERENCE,Iload_A,103.56640381899916,-7.995822135811399e-16,99.99999999999997,-179.99999999999935,26.944387170614977,3.829589539386987e-12,8.431863494757606e-12
weak_grid,ANALYTICAL_REFERENCE,Isystem_A,109.05770394211429,4.577892046254767e-15,108.5807672563862,-160.49496076292263,9.38307724969812,1.3160888908840676e-12,2.8854459064565712e-12
weak_grid,ANALYTICAL_REFERENCE,Ifilter_A,42.21353566088878,-7.056557722143963e-16,36.33006173909193,86.29196305073268,59.17062748154628,2.265267175092949e-12,6.42159017494835e-12
weak_grid,ANALYTICAL_REFERENCE,Ilinear_A,0.0,0.0,0.0,0.0,,0.0,0.0
weak_grid,ANALYTICAL_REFERENCE,Vpcc_A,279.41188613931394,-3.152260349434781e-14,279.012452183646,-3.4693059161686093,5.3528007006485385,1.3689866103331372e-12,3.185752363198727e-12
weak_grid,ANALYTICAL_REFERENCE,Iload_B,103.56640381899913,-1.6569395913832503e-14,100.0,59.99999999999867,26.94438717061501,1.6983970470868824e-12,5.180878390576231e-12
weak_grid,ANALYTICAL_REFERENCE,Isystem_B,109.05770394211427,-1.3212483955473745e-14,108.58076725638611,79.50503923707544,9.383077249698278,1.0390409151164384e-12,4.429719714104597e-12
weak_grid,ANALYTICAL_REFERENCE,Ifilter_B,42.21353566088877,1.0306894349589722e-15,36.3300617390919,-33.70803694926794,59.170627481546404,4.386009969448763e-12,8.883825417790349e-12
weak_grid,ANALYTICAL_REFERENCE,Ilinear_B,0.0,0.0,0.0,0.0,,0.0,0.0
weak_grid,ANALYTICAL_REFERENCE,Vpcc_B,279.4118861393139,1.64816364474093e-14,279.01245218364613,-123.46930591616942,5.352800700648631,8.726930970634703e-13,1.813607213637915e-12
weak_grid,ANALYTICAL_REFERENCE,Iload_C,103.56640381899916,8.362848951654006e-15,99.99999999999986,-59.999999999998636,26.94438717061498,1.4424825057554528e-12,6.2702601154040195e-12
weak_grid,ANALYTICAL_REFERENCE,Isystem_C,109.05770394211443,6.21874660763352e-15,108.58076725638612,-40.49496076292513,9.383077249698108,2.422444623410348e-12,4.722077065701594e-12
weak_grid,ANALYTICAL_REFERENCE,Ifilter_C,42.21353566088877,1.7888309761409096e-15,36.330061739091946,-153.70803694926863,59.17062748154628,2.2561861925996304e-12,9.971143382771046e-12
weak_grid,ANALYTICAL_REFERENCE,Ilinear_C,0.0,0.0,0.0,0.0,,0.0,0.0
weak_grid,ANALYTICAL_REFERENCE,Vpcc_C,279.4118861393139,-2.33638678208902e-14,279.0124521836457,116.53069408382879,5.352800700648553,9.069045204162581e-13,2.7401952303318383e-12
