case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Iload_theory_error_pct,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Isystem_theory_error_pct,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ifilter_theory_error_pct,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Ilinear_theory_error_pct,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,Vpcc_theory_error_pct,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
low_quality,PSCAD_EMTDC,A,11,660.0,negative,9.000000000038769,-9.999999924047712,8.863269779219772,-1.5628335872597996,1.3256245035660956e-07,6.93949745805058,-10.059363816332047,6.832818705222326,-1.2121111796590067,0.0017077692747954737,2.0605188111469976,-9.80007146929805,2.030451073997431,-0.3507224076008174,0.005751039887027576,0.0,,0.0,0.0,,5.757981472954,78.55944928865505,1.1421017936765607,5.643576360408558,0.016036763900762738,22.89465345709024,77.10552731134096,22.894514074801446,77.10548592519844,0.0,2.857934893756065e-14,3.1754832152708375e-13,1.4654943925052066e-14,2.453592884421596e-14
low_quality,PSCAD_EMTDC,A,12,720.0,zero,2.6321656088783717e-11,,-2.6194166506713152e-11,-2.587512371910861e-12,,4.423842504868576e-11,,-4.392490662413729e-11,-5.25745459790262e-12,,1.7870223657220676e-11,,1.766919249304373e-11,2.6729254016632584e-12,,0.0,,0.0,0.0,,3.6928948844959953e-10,,3.6785884625597205e-10,3.247453634144825e-11,,,,,,,6.16198783182733e-14,,6.154762438040791e-14,-2.9831756714992724e-15
low_quality,PSCAD_EMTDC,A,13,780.0,positive,6.999999999991037,29.999999996015493,6.062177826726709,3.4999999995739386,6.955439458977025e-09,5.483753892208103,29.97316859475912,4.750353668973483,2.7396526732375563,0.0015047489017513916,1.5162488837693733,30.097040045058293,1.3118241577532073,0.7603473263364305,0.005441786063024417,0.0,,0.0,0.0,,5.377243629472196,118.80447413326475,-2.5908748284183254,4.711912209938512,0.021521178905941102,21.66069833959021,78.33934131735893,21.660667272605437,78.33933272739469,0.0,5.1535041232135534e-14,7.362148747457359e-13,1.7985612998927536e-14,-4.829470157119431e-14
low_quality,PSCAD_EMTDC,A,14,840.0,negative,2.4358386673868056e-12,,3.893829297535762e-14,-2.4355274219102715e-12,,1.9732458813040176e-11,,-1.9222327953173718e-11,-4.457806508694974e-12,,1.9388659963518452e-11,,1.9278851281686337e-11,2.060589342776586e-12,,0.0,,0.0,0.0,,1.9781318065718566e-11,,8.427000244247557e-12,-1.789654188106114e-11,,,,,,,4.215340068144447e-14,,-1.758503553726125e-14,-3.8310255991883714e-14
low_quality,PSCAD_EMTDC,A,15,900.0,zero,3.295930968796251e-12,,2.265957436372424e-12,-2.3934489440175465e-12,,1.6523289003660093e-11,,-1.5967212267830517e-11,-4.2505543041487154e-12,,1.832841681399665e-11,,1.8235681852136837e-11,1.8414044355443313e-12,,0.0,,0.0,0.0,,1.0122714360785858e-11,,-9.948105818220398e-13,-1.00737132149151e-11,,,,,,,1.5900626406634022e-14,,-2.5121479338976955e-15,1.5700924586837574e-14
low_quality,PSCAD_EMTDC,A,16,960.0,positive,4.136534399456241e-12,,3.4994220719143974e-12,-2.205665885958967e-12,,1.4153241531925827e-11,,-1.360202498806928e-11,-3.91141433307302e-12,,1.723082969466379e-11,,1.714854983374419e-11,1.6818830417420597e-12,,0.0,,0.0,0.0,,1.613705381218273e-11,,1.4093149909145563e-11,-7.86051088515445e-12,,,,,,,5.280368234795433e-14,,-4.710277376051313e-14,2.3865405371993574e-14
low_quality,PSCAD_EMTDC,A,17,1020.0,negative,4.941979884629108e-12,,4.56457279588547e-12,-1.894159542156106e-12,,1.210493594623746e-11,,-1.1583514123185418e-11,-3.514494959517762e-12,,1.6249871752050905e-11,,1.617316914609836e-11,1.5770008655019836e-12,,0.0,,0.0,0.0,,1.6481721676150806e-11,,1.6462105410807642e-11,8.038873388460928e-13,,,,,,,5.006996602291828e-14,,-2.5082227027470777e-14,4.3334551859672037e-14
low_quality,PSCAD_EMTDC,A,18,1080.0,zero,4.8117339471661156e-12,,4.602255014893881e-12,-1.4042906950467682e-12,,1.1082190842863419e-11,,-1.067662871904967e-11,-2.970614931829702e-12,,1.5324270450421077e-11,,1.5244655718344245e-11,1.5600438669481988e-12,,0.0,,0.0,0.0,,9.798948518950007e-12,,8.430768466148397e-12,-4.994150092581352e-12,,,,,,,3.479942667814086e-14,,3.4228015599304806e-14,6.280369834734949e-15
low_quality,PSCAD_EMTDC,A,19,1140.0,positive,5.147601051939848e-12,,4.928834246300106e-12,-1.4847186812428446e-12,,1.0053652542304547e-11,,-9.605825662227336e-12,-2.967160728420598e-12,,1.4591002891211748e-11,,1.4514562725056289e-11,1.4915878357495861e-12,,0.0,,0.0,0.0,,2.60974449119091e-11,,2.346848599843812e-11,-1.1415200211614517e-11,,,,,,,2.2080358513255562e-14,,2.00971834711541e-14,-9.145788571832817e-15
low_quality,PSCAD_EMTDC,A,20,1200.0,negative,5.238036428225325e-12,,5.04941734712702e-12,-1.3929860293442452e-12,,9.105330436149986e-12,,-8.679471111603907e-12,-2.7520580615809207e-12,,1.3811179352727624e-11,,1.3743961346334292e-11,1.360956143187096e-12,,0.0,,0.0,0.0,,3.704823116278498e-12,,3.657687391749722e-12,-5.890986904981523e-13,,,,,,,1.5190188108682977e-14,,-1.507288760336517e-14,-1.8841109504204443e-15
low_quality,PSCAD_EMTDC,A,21,1260.0,zero,4.915425879102532e-12,,4.844677290514656e-12,-8.309714337583879e-13,,8.440129142220142e-12,,-8.122402307262905e-12,-2.2939835867599294e-12,,1.311291779026786e-11,,1.3029569277633175e-11,1.476122425031551e-12,,0.0,,0.0,0.0,,7.137110569183103e-12,,6.586223845686699e-12,-2.7495459136470267e-12,,,,,,,6.385013172388774e-14,,-6.248967985561268e-14,-1.3110272030009514e-14
low_quality,PSCAD_EMTDC,A,22,1320.0,positive,5.0810042658804855e-12,,5.025551941755027e-12,-7.486200843004238e-13,,7.856522897438587e-12,,-7.562193318004533e-12,-2.130301447942146e-12,,1.2667632974567452e-11,,1.2592769555627348e-11,1.3751654799381843e-12,,0.0,,0.0,0.0,,2.0511886482037972e-11,,2.0474005661236427e-11,1.2460253752114439e-12,,,,,,,8.228018558869881e-15,,-5.0242958677889286e-15,6.515883703537555e-15
low_quality,PSCAD_EMTDC,A,23,1380.0,negative,5.055512813251186e-12,,5.004198684316927e-12,-7.184743090936954e-13,,7.216934069979705e-12,,-6.9084068182086095e-12,-2.0875949330659472e-12,,1.1930804942004261e-11,,1.185231395211208e-11,1.366294457546621e-12,,0.0,,0.0,0.0,,4.693919340160802e-12,,-1.6781148198412186e-12,-4.3836981446450994e-12,,,,,,,6.035775234320484e-14,,6.029155041345583e-14,2.8261664256308684e-15
low_quality,PSCAD_EMTDC,A,24,1440.0,zero,4.819419628180485e-12,,4.746703521092788e-12,-8.340331140528213e-13,,6.944678820431369e-12,,-6.619509805810795e-12,-2.1001556727354175e-12,,1.1436092140544829e-11,,1.1359932957068848e-11,1.317621591327424e-12,,0.0,,0.0,0.0,,2.446601650379405e-11,,2.4352762071168823e-11,-2.351370466124821e-12,,,,,,,5.1880568699794395e-14,,6.280369834736161e-15,-5.149903264482763e-14
low_quality,PSCAD_EMTDC,A,25,1500.0,positive,4.692608960130964e-12,,4.65752226943955e-12,-5.727697289278411e-13,,6.4998544923922464e-12,,-6.2602726512639476e-12,-1.7484549619902517e-12,,1.0999976813646186e-11,,1.0924075290538233e-11,1.2899879640545895e-12,,0.0,,0.0,0.0,,6.716897319167748e-12,,6.5265603322567156e-12,-1.5876774942210332e-12,,,,,,,1.1447513860018465e-13,,-6.280369834736161e-15,-1.1430273099217894e-13
low_quality,PSCAD_EMTDC,B,1,60.0,positive,99.999999999698,60.00000001176914,49.999999982059954,86.60254038845284,2.054325526136289e-08,107.71787359147443,79.61492021204435,19.41754816841847,105.95328741570981,4.400199719146659e-05,36.19029938321312,-32.323182402788504,30.58245181364146,-19.35074702725697,0.00013091247046084466,0.0,,0.0,0.0,,277.9513960073368,-121.72637218579524,-146.16441276867099,-236.41688387764725,4.419968156618893e-06,36.19029938332242,107.71787359179974,-1.4670126084221895,101.4670126084222,0.0,2.5121479338940402e-14,2.5121479339016268e-14,2.4868995751603507e-14,-3.552713678800501e-15
low_quality,PSCAD_EMTDC,B,2,120.0,negative,1.672390115187187e-10,,-2.3315244974470584e-11,-1.656058160981629e-10,,9.365000779670771e-11,,-4.941834611858008e-11,-7.954967647468866e-11,,8.992507891114416e-11,,2.609744881125823e-11,-8.605488354950728e-11,,0.0,,0.0,0.0,,2.528182958318852e-11,,2.005447695627612e-11,-1.5394442538902676e-11,,,,,,,5.7902148899599974e-15,,5.65233285126416e-15,-1.256073966944001e-15
low_quality,PSCAD_EMTDC,B,3,180.0,zero,1.7697950676682683e-10,,1.1076060240538822e-11,-1.7663257543549905e-10,,7.582426737667292e-11,,-3.716722868196232e-11,-6.609021588186788e-11,,1.2066003216036576e-10,,4.8272178623740926e-11,-1.1058318195755695e-10,,0.0,,0.0,0.0,,1.266362534043362e-10,,-8.735240795736355e-11,9.168586314333077e-11,,,,,,,5.0010833826317966e-14,,-2.888970123978957e-14,4.0822403925776967e-14
