case,origin,channel,rms_total,dc,fundamental_rms,harmonic_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct,dc_pct,unmodeled_rms,unmodeled_pct
low_quality,PSCAD_EMTDC,Iload_A,103.56640381881365,1.1234798310290177e-11,99.9999999997614,26.944387170787998,-179.99999998842426,26.944387170852288,1.4968375930184027e-08,6.972707251491739e-08,1.1234798310290176e-11,5.976762755226535e-09,5.976762755226535e-09
low_quality,PSCAD_EMTDC,Isystem_A,108.57109904699166,1.7961057360230434e-11,107.71787359132867,13.584669934681374,-160.3850797881537,12.611342465058598,7.97002720457974e-09,0.004360228705891685,1.6674169280874e-11,3.015117480883474e-09,2.7990879528780937e-09
low_quality,PSCAD_EMTDC,Ifilter_A,41.370186682885546,-6.720006273865571e-12,36.19029938314798,20.043816421403214,87.6768175973271,55.38450016452923,3.626249308176988e-08,0.012978018263996876,1.8568553395238224e-11,4.481676590932727e-09,1.238365675379848e-08
low_quality,PSCAD_EMTDC,Ilinear_A,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
low_quality,PSCAD_EMTDC,Vpcc_A,278.11232326867264,-0.2254373267004785,277.95139600728214,9.457007429071227,-1.7263721857496919,3.4023960897190313,1.6163995411453796e-09,0.0006352308885190095,0.08110674586861026,2.755317206332516e-09,9.912946347981434e-10
low_quality,PSCAD_EMTDC,Iload_B,103.56640381869379,-7.1976634732345335e-12,99.999999999698,26.944387170562024,60.00000001176914,26.94438717064339,1.4968338524800426e-08,6.973437116178281e-08,7.197663473234533e-12,5.97681940015905e-09,5.976819400159049e-09
low_quality,PSCAD_EMTDC,Isystem_B,108.57109904713577,4.6235197700891704e-11,107.71787359147443,13.584669934675851,79.61492021204435,12.611342465036406,7.971862136359363e-09,0.004360228605963715,4.292250159538793e-11,3.0149428860529255e-09,2.7989258675564042e-09
low_quality,PSCAD_EMTDC,Ifilter_B,41.370186682893525,-5.342016022272453e-11,36.19029938321312,20.043816421302164,-32.323182402788504,55.384500164150325,3.6262097253918936e-08,0.012978018451318801,1.476092516960177e-10,4.481707168802255e-09,1.2383741245803382e-08
low_quality,PSCAD_EMTDC,Ilinear_B,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
low_quality,PSCAD_EMTDC,Vpcc_B,278.11224033072,-0.06848234705402376,277.9513960073368,9.457007429044706,-121.72637218579524,3.4023960897088203,1.616288126894327e-09,0.0006352308778565628,0.024638246027359787,2.692569205923446e-09,9.68719464140164e-10
low_quality,PSCAD_EMTDC,Iload_C,103.56640381871966,-4.095754612755835e-12,99.99999999970977,26.94438717061748,-59.999999988581116,26.944387170695684,1.4968322661954093e-08,6.980596156560645e-08,4.095754612755834e-12,5.9767558732913715e-09,5.976755873291371e-09
low_quality,PSCAD_EMTDC,Isystem_C,108.57109904692811,-6.420925799318655e-11,107.71787359125882,13.584669934725873,-40.38507978831744,12.611342465108088,7.970106666347846e-09,0.004360228609515246,5.960874216393952e-11,3.0149681745596725e-09,2.7989493441721663e-09
low_quality,PSCAD_EMTDC,Ifilter_C,41.37018668280479,6.013865659327663e-11,36.19029938311198,20.043816421301617,-152.32318240281626,55.384500164303596,3.626156168887855e-08,0.012978018433331127,1.661736329641544e-10,4.481553814895516e-09,1.2383317502120775e-08
low_quality,PSCAD_EMTDC,Ilinear_C,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
low_quality,PSCAD_EMTDC,Vpcc_C,278.1122748824501,0.15462371961759347,277.9513960070775,9.457007429071249,118.27362781422426,3.402396089721545,1.6268213274599993e-09,0.000635230863545744,0.05562977043702136,2.306521729084816e-09,8.298291789534102e-10
