time_s,Iload_A,Isystem_A,Ifilter_A,Ilinear_A,Vpcc_A,Iload_B,Isystem_B,Ifilter_B,Ilinear_B,Vpcc_B,Iload_C,Isystem_C,Ifilter_C,Ilinear_C,Vpcc_C
0.0,9.5112203510261,7.6981290844861,1.81309126654,0.0,0.16660215459342,129.53202534053,104.83978026424,24.692245076292,0.0,2.268932241513,-139.0432456915,-112.53790934868,-26.505336342821,0.0,-2.4355343961051
2e-05,12.344260532988,9.9932083503967,2.3510521825911,0.0,-0.25552812893652,129.0028111194,104.44476224577,24.558048873634,0.0,2.4700084827539,-141.34707165231,-114.4379705961,-26.909101056211,0.0,-2.2144803538189
4e-05,15.10694162421,12.233845736189,2.8730958880208,0.0,-0.81983154036998,128.50242296935,104.10731374136,24.39510922799,0.0,2.7116292424345,-143.60936459347,-116.34115947748,-27.268205115993,0.0,-1.8917977020659
6e-05,17.780623695291,14.405471696976,3.375151998315,0.0,-1.5232267243111,128.03388292076,103.8320621714,24.201820749368,0.0,-1.4530174565498,-145.81450661595,-118.23559681561,-27.578909800338,0.0,-1.4487711910579
8e-05,20.347334639343,16.494258297597,3.8530763417461,0.0,20.578991443899,127.59973610534,103.61675159833,23.98298450701,0.0,-1.2126306935637,-147.94707074456,-120.11099816272,-27.836072581837,0.0,-19.505592409737
0.0001,22.789893601943,18.486236864684,4.3036567372582,0.0,19.614469337478,127.20204450793,103.46513747408,23.736907033845,0.0,-0.92719727385109,-149.99193810973,-121.95135621397,-28.040581895765,0.0,-18.826503888818
0.00012,25.092027498016,20.368875533785,4.7231519642315,0.0,18.529740816436,126.84238604444,103.37799236636,23.464393678076,0.0,-0.63544201187833,-151.9344135423,-123.74684341675,-28.187570125551,0.0,-18.0335308689
0.00014,27.238479697073,22.130190589762,5.108289107311,0.0,17.332827159318,126.52185888341,103.35587722862,23.165981654786,0.0,-0.34145239931732,-153.76033858031,-125.48603701663,-28.274301563679,0.0,-17.130607136441
0.00016,29.215110030009,23.759062078119,5.4560479518896,0.0,16.032502970414,126.24109087214,103.3989420806,22.842148791539,0.0,-0.049220911360817,-155.45620090197,-127.15796708605,-28.298233815924,0.0,-16.122514820046
0.00018,31.008985349513,25.245303696686,5.7636816528266,0.0,14.638221306522,126.00025387359,103.50693822089,22.493315652699,0.0,0.23739337148269,-157.00923922291,-128.75219862852,-28.257040594395,0.0,-15.014847895418
0.0002,32.608459961263,26.579724808417,6.0287351528466,0.0,13.160033699981,125.79908276789,103.67923414761,22.119848620283,0.0,0.5147010509548,-158.40754272895,-130.25890951216,-28.148633216794,0.0,-13.813968495981
0.00022,34.003245333811,27.754184116828,6.2490612169823,0.0,11.608505796201,125.63689882338,103.91483495192,21.722063871463,0.0,0.77921623007618,-159.64014415698,-131.66896353861,-27.971180618373,0.0,-12.52695636942
0.00024,35.184468590428,28.761634620039,6.422833970389,0.0,9.9946293586271,125.51263709641,104.21240491325,21.30023218316,0.0,1.0276875153062,-160.69710568662,-132.97397799227,-27.723127694344,0.0,-11.161551884823
0.00026,36.144719385453,29.596159536783,6.5485598486698,0.0,8.3297314218257,125.42487747767,104.5702929924,20.854584485267,0.0,1.257125886629,-161.5695968629,-134.16638505945,-27.403211803443,0.0,-9.7260930558403
0.00028,36.878084869793,30.252998977468,6.6250858923246,0.0,6.6253813941007,125.37187896594,104.98656088976,20.385318076178,0.0,1.4648291567299,-162.2499638355,-135.23948655759,-27.010477277908,0.0,-8.2294471024841
0.0003,37.380172554438,30.728567214572,6.651605339866,0.0,4.8932969244563,125.3516167178,105.45901331043,19.892603407372,0.0,1.6484027796817,-162.731789272,-136.18750147081,-26.544287801189,0.0,-6.6809371267676
