channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,1.95776700047773e-10,99.99999999972306,1.5791571371293912e-10,2.515271136864037e-10
Iload,2,negative,1.517142319959698e-14,1.1902217572898547e-10,6.29909391050412e-11,
Iload,3,zero,7.522620125208794e-15,9.415442979530775e-11,9.973518881986236e-11,
Iload,4,positive,2.3817612014337768e-14,9.575224934306666e-11,2.0352886879867554e-10,
Iload,5,negative,3.598130145222017e-11,8.251039913417774e-11,20.000000000029228,4.500727724338915e-10
Iload,6,zero,1.0562235501086777e-14,1.9696923054773109e-10,2.0857123058870145e-10,
Iload,7,positive,2.7534399896530156e-11,14.000000000007054,8.463416469663167e-11,6.35717697083569e-10
Iload,8,negative,2.6160670115362367e-14,1.4893759687246158e-10,7.610550964519384e-11,
Iload,9,zero,2.931138306183345e-14,6.640046207819132e-11,6.458597667862378e-11,
Iload,10,positive,2.8999808541917414e-14,3.986508591425505e-11,7.167018141809568e-11,
Iload,11,negative,1.6399160803860187e-11,3.96230581155666e-11,9.000000000058861,4.764735699892687e-10
Iload,12,zero,1.7794381198414922e-14,2.0849791873961505e-11,1.3443147238185557e-11,
Iload,13,positive,1.5005767488542803e-11,6.999999999984034,7.367975273968696e-12,2.388151524776386e-10
Iload,14,negative,2.1889388952414025e-14,1.0543171438033671e-11,8.999808695619525e-12,
Iload,15,zero,1.3865225808319045e-14,8.997740493027091e-12,9.269153346495234e-12,
Iload,16,positive,2.5341203650493153e-14,7.76652508362796e-12,9.074741380533024e-12,
Iload,17,negative,1.4908071761450564e-14,6.54980510840847e-12,8.794029037906723e-12,
Iload,18,zero,5.617333549722465e-15,5.729164792572636e-12,8.213198084266648e-12,
Iload,19,positive,1.3956667029607088e-14,5.167620934434543e-12,7.762819717538572e-12,
Iload,20,negative,1.613218534212622e-14,4.696536483521783e-12,7.2475773462500144e-12,
Iload,21,zero,2.38810237143226e-14,4.139407925571723e-12,6.935273073776504e-12,
Iload,22,positive,2.5415513838182058e-14,3.665079394139066e-12,6.516108604164159e-12,
Iload,23,negative,1.942294558297032e-14,3.5433401287974386e-12,6.2417377689631575e-12,
Iload,24,zero,2.763442023744644e-14,3.4037297541747817e-12,5.807443755137229e-12,
Iload,25,positive,2.531611462855657e-14,3.0953561026570774e-12,5.51027268463377e-12,
Isystem,1,positive,1.9766725250351525e-10,107.71787359135395,2.152501028047414e-10,2.7130247045017927e-10
Isystem,2,negative,1.0727816224681015e-14,8.349673547898927e-11,1.8544765639071934e-11,
Isystem,3,zero,1.5122235658207267e-14,5.880971568471501e-11,2.32678948274444e-11,
Isystem,4,positive,1.8167597365220783e-14,5.7710561657190674e-11,4.3815740888796825e-11,
Isystem,5,negative,7.371931014294564e-12,7.234018885990287e-11,4.101122312859284,1.7730473942488198e-09
Isystem,6,zero,1.483845826790467e-14,1.2647892154262092e-10,4.234513130276268e-11,
Isystem,7,positive,1.8596311144227463e-11,9.46022575251492,2.8940394466160446e-11,3.6362910264225273e-10
Isystem,8,negative,1.60255436804859e-14,1.0658047982497343e-10,1.7747676285045715e-11,
Isystem,9,zero,2.438999876090983e-14,5.041289589711762e-11,1.8627279419411135e-11,
Isystem,10,positive,2.245006511406965e-14,3.207031667038736e-11,3.0088047716499627e-11,
Isystem,11,negative,1.2626592658940113e-11,3.410408015909283e-11,6.939497458070931,5.240502827506606e-10
Isystem,12,zero,5.575931116686021e-14,1.8659388735252317e-11,2.6271473794353485e-11,
Isystem,13,positive,1.1744442763857187e-11,5.48375389221994,2.2926927388112884e-11,4.697506159908692e-10
Isystem,14,negative,1.58004422738139e-14,1.0848217785775665e-11,8.92500063139528e-12,
Isystem,15,zero,1.3424265016646289e-14,9.647235764368375e-12,6.8856316172846555e-12,
Isystem,16,positive,3.402495979119838e-15,8.531474066862141e-12,5.6286311995708854e-12,
Isystem,17,negative,1.517719948885609e-14,7.40962371741212e-12,4.710752451892426e-12,
Isystem,18,zero,1.1996803307422617e-14,6.880752295216954e-12,4.2050946565667854e-12,
Isystem,19,positive,2.9393502575236106e-14,6.181709264860938e-12,3.842577345288865e-12,
Isystem,20,negative,9.362222582871232e-15,5.558385576534249e-12,3.5405337130658943e-12,
Isystem,21,zero,5.788913837662868e-15,5.333853815169477e-12,3.1011657979863175e-12,
Isystem,22,positive,1.1799743631601182e-14,4.841763257154295e-12,3.0286799652550457e-12,
Isystem,23,negative,8.621381995605801e-15,4.5112937848804644e-12,2.6996797717361787e-12,
Isystem,24,zero,3.3901718441712686e-14,4.305325824510995e-12,2.672724698725752e-12,
Isystem,25,positive,2.4621933426568e-14,4.012444878590452e-12,2.5102454662062667e-12,
Ifilter,1,positive,1.946356854013698e-12,36.19029938315769,5.733067585225493e-11,1.585057498569215e-10
Ifilter,2,negative,2.2746781289104573e-15,3.5819211570602e-11,7.101013930370145e-11,
Ifilter,3,zero,1.3072375208562875e-14,3.6125849141980444e-11,1.0359415227759728e-10,
Ifilter,4,positive,1.0321566780467003e-14,3.8568166072392414e-11,2.025177627384163e-10,
Ifilter,5,negative,3.481834486895466e-11,1.1335062593853401e-11,19.354154765965312,1.8919424336838579e-10
Ifilter,6,zero,1.2776947279185964e-14,7.071381165307838e-11,1.9682343617701545e-10,
Ifilter,7,positive,8.94439354228534e-12,4.541643048358476,8.950761856448959e-11,1.9806358396296088e-09
Ifilter,8,negative,7.337604619794723e-15,4.31015424052347e-11,6.56591106738395e-11,
Ifilter,9,zero,5.048497687391212e-15,1.7371341127913823e-11,5.045180875598408e-11,
