channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,1.95776700047773e-10,99.99999999972306,1.5791571371293912e-10,2.515271136864037e-10
Iload,2,negative,1.517142319959698e-14,1.1902217572898547e-10,6.29909391050412e-11,
Iload,3,zero,7.522620125208794e-15,9.415442979530775e-11,9.973518881986236e-11,
Iload,4,positive,2.3817612014337768e-14,9.575224934306666e-11,2.0352886879867554e-10,
Iload,5,negative,3.598130145222017e-11,8.251039913417774e-11,20.000000000029228,4.500727724338915e-10
Iload,6,zero,1.0562235501086777e-14,1.9696923054773109e-10,2.0857123058870145e-10,
Iload,7,positive,2.7534399896530156e-11,14.000000000007054,8.463416469663167e-11,6.35717697083569e-10
Iload,8,negative,2.6160670115362367e-14,1.4893759687246158e-10,7.610550964519384e-11,
Iload,9,zero,2.931138306183345e-14,6.640046207819132e-11,6.458597667862378e-11,
Iload,10,positive,2.8999808541917414e-14,3.986508591425505e-11,7.167018141809568e-11,
Iload,11,negative,1.6399160803860187e-11,3.96230581155666e-11,9.000000000058861,4.764735699892687e-10
Iload,12,zero,1.7794381198414922e-14,2.0849791873961505e-11,1.3443147238185557e-11,
Iload,13,positive,1.5005767488542803e-11,6.999999999984034,7.367975273968696e-12,2.388151524776386e-10
Iload,14,negative,2.1889388952414025e-14,1.0543171438033671e-11,8.999808695619525e-12,
Iload,15,zero,1.3865225808319045e-14,8.997740493027091e-12,9.269153346495234e-12,
Iload,16,positive,2.5341203650493153e-14,7.76652508362796e-12,9.074741380533024e-12,
Iload,17,negative,1.4908071761450564e-14,6.54980510840847e-12,8.794029037906723e-12,
Iload,18,zero,5.617333549722465e-15,5.729164792572636e-12,8.213198084266648e-12,
Iload,19,positive,1.3956667029607088e-14,5.167620934434543e-12,7.762819717538572e-12,
Iload,20,negative,1.613218534212622e-14,4.696536483521783e-12,7.2475773462500144e-12,
Iload,21,zero,2.38810237143226e-14,4.139407925571723e-12,6.935273073776504e-12,
Iload,22,positive,2.5415513838182058e-14,3.665079394139066e-12,6.516108604164159e-12,
Iload,23,negative,1.942294558297032e-14,3.5433401287974386e-12,6.2417377689631575e-12,
Iload,24,zero,2.763442023744644e-14,3.4037297541747817e-12,5.807443755137229e-12,
Iload,25,positive,2.531611462855657e-14,3.0953561026570774e-12,5.51027268463377e-12,
Isystem,1,positive,1.9962568328044401e-10,108.58078899536946,2.163594694781923e-10,2.7111961765083033e-10
Isystem,2,negative,3.183499858929515e-15,9.501598514152211e-11,1.207487986489344e-11,
Isystem,3,zero,1.3704148184031884e-14,8.541494983745463e-11,1.2046752251009563e-11,
Isystem,4,positive,1.4605000650821808e-13,3.1972425649821536e-10,3.794401063560044e-11,
Isystem,5,negative,1.53533783287866e-12,1.0966058332228817e-11,0.8448415450872817,1.3106619470571767e-09
Isystem,6,zero,1.3014836402865491e-14,7.517889627155841e-11,6.835001935865643e-12,
Isystem,7,positive,1.4025609691955313e-11,7.134573028426532,1.4049287330967962e-11,2.782501075687363e-10
Isystem,8,negative,1.913652952982969e-14,9.019645587871635e-11,4.6207157815288935e-12,
Isystem,9,zero,2.2778443989484555e-14,4.59015740895714e-11,8.179499380160984e-12,
Isystem,10,positive,1.7321693162635575e-14,3.076466512558374e-11,1.9226476598528264e-11,
Isystem,11,negative,1.0292299823752794e-11,3.16146855270995e-11,5.64607697106833,5.888664622382761e-10
Isystem,12,zero,3.21754474356846e-14,1.9099420571204795e-11,2.4901336896826546e-11,
Isystem,13,positive,9.660490756486362e-12,4.5071383526213324,2.021876972349878e-11,4.971695068317714e-10
Isystem,14,negative,2.2772499310172928e-14,1.2097801067062238e-11,9.959846711751286e-12,
Isystem,15,zero,1.610737677606169e-14,1.0883997335851422e-11,8.05228456991379e-12,
Isystem,16,positive,1.2458760763153093e-14,9.803943405042221e-12,6.821115744336634e-12,
Isystem,17,negative,1.689036814247056e-14,8.618327992954214e-12,5.906841617301794e-12,
Isystem,18,zero,1.9530951673694968e-14,8.07677341425372e-12,5.454222642665329e-12,
Isystem,19,positive,1.7167939763210064e-14,7.371351851332268e-12,4.997084950945481e-12,
Isystem,20,negative,1.687701302932755e-14,6.701272959837381e-12,4.6602772310174676e-12,
Isystem,21,zero,1.3069258026285558e-14,6.437712849791397e-12,4.261945808276748e-12,
Isystem,22,positive,9.004297352619069e-15,5.889283393423011e-12,4.086628934718028e-12,
Isystem,23,negative,2.2993740646564292e-14,5.572602979187281e-12,3.762159444668296e-12,
Isystem,24,zero,1.3538450430082589e-14,5.339252044027439e-12,3.688056987928027e-12,
Isystem,25,positive,1.8763024589809648e-14,4.987118961720745e-12,3.5222481835101477e-12,
Ifilter,1,positive,3.899695381430016e-12,36.33011027449273,5.856258890116202e-11,1.615527330247982e-10
Ifilter,2,negative,7.999086481253774e-15,2.4039315600266075e-11,7.231544879406609e-11,
Ifilter,3,zero,6.428277598762879e-15,9.205325281907503e-12,1.0871933900050294e-10,
Ifilter,4,positive,1.3487596859652932e-13,2.3596585965589703e-10,2.412943378000492e-10,
Ifilter,5,negative,3.5860476524922215e-11,7.193972065267379e-11,19.93495019266321,4.0322244936925497e-10
Ifilter,6,zero,1.6589900684164315e-14,1.2186800936426273e-10,2.0814342176025707e-10,
Ifilter,7,positive,1.3503978308029484e-11,6.865560006849525,9.356879464117106e-11,1.376992248300361e-09
Ifilter,8,negative,6.520506164866107e-15,5.885012244326727e-11,7.191266830855189e-11,
Ifilter,9,zero,1.259482113642308e-14,2.0848219332104955e-11,5.667573828969128e-11,
