time_s,Iload_A,Isystem_A,Ifilter_A,Ilinear_A,Vpcc_A,Iload_B,Isystem_B,Ifilter_B,Ilinear_B,Vpcc_B,Iload_C,Isystem_C,Ifilter_C,Ilinear_C,Vpcc_C
0.0,9.5112203510261,6.4638569023157,3.0473634487105,0.0,0.24744773056353,129.53202534053,88.03039412056,41.501631219971,0.0,3.3699572213522,-139.0432456915,-94.494251022836,-44.548994668663,0.0,-3.6174049519143
2e-05,12.344260532988,8.3900018636294,3.9542586693584,0.0,-0.45220180463878,129.0028111194,87.684055386134,41.318755733266,0.0,4.2462796589635,-141.34707165231,-96.074057249712,-45.273014402601,0.0,-3.7940778543264
4e-05,15.10694162421,10.27123863884,4.8357029853696,0.0,-1.3857397037483,128.50242296935,87.402173968851,41.100249000501,0.0,5.2125262346047,-143.60936459347,-97.673412607629,-45.935951985841,0.0,-3.8267865308586
6e-05,17.780623695291,12.095717534647,5.6849061606445,0.0,-2.5495821568013,128.03388292076,87.18984705908,40.844035861685,0.0,-1.2502205292849,-145.81450661595,-99.282922305193,-46.531584310754,0.0,-3.6620219823776
8e-05,20.347334639343,13.852302186557,6.495032452786,0.0,34.596457374341,127.59973610534,87.043084063586,40.556652041753,0.0,-0.25433816383258,-147.94707074456,-100.89537139133,-47.051699353229,0.0,-34.57590802657
0.0001,22.789893601943,15.52938995581,7.2605036461332,0.0,33.00013024416,127.20204450793,86.965981836609,40.23606267132,0.0,0.78896971751769,-149.99193810973,-102.4953476792,-47.496590430535,0.0,-34.022888997502
0.00012,25.092027498016,17.116899291741,7.9751282062751,0.0,31.204589917206,126.84238604444,86.959109588647,39.883276455793,0.0,1.8437138976963,-151.9344135423,-104.0759755467,-47.858437995602,0.0,-33.282093249534
0.00014,27.238479697073,18.60508855511,8.633391141963,0.0,29.222996876389,126.52185888341,87.022853739352,39.499005144056,0.0,2.9028673343052,-153.76033858031,-105.62789978311,-48.1324387972,0.0,-32.359654222596
0.00016,29.215110030009,19.984923922559,9.2301861074499,0.0,27.069729064393,126.24109087214,87.157249845688,39.083841026453,0.0,3.9595670986067,-155.45620090197,-107.14212213085,-48.31407877112,0.0,-31.263086929877
0.00018,31.008985349513,21.248135768811,9.7608495807017,0.0,24.760258717581,126.00025387359,87.361993075706,38.638260797885,0.0,5.0071776363628,-157.00923922291,-108.61006814144,-48.399171081476,0.0,-30.001228052559
0.0002,32.608459961263,22.38726857393,10.221191387334,0.0,22.311020933073,125.79908276789,87.636451736197,38.162631031692,0.0,6.0393505312402,-158.40754272895,-110.02365061041,-48.383892118544,0.0,-28.584164270327
