case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
stiff_grid,ANALYTICAL_REFERENCE,A,1,60.0,positive,99.99999999999997,-179.99999999999935,-99.99999999999997,-1.1681487892607286e-12,106.97714338424987,-160.26194607173903,-100.6918564260217,-36.128371899876534,36.134995799781144,88.90292292272946,0.6918564260212396,36.128371899879106,0.0,,0.0,0.0,277.5143587739662,-0.8583460441718306,277.48321817972214,-4.157277276095245,36.13499579978116,106.9771433842499,-0.6918564260216619,100.69185642602217,-0.0,3.769416682629746e-12,3.769416682629747e-12,4.898303984646191e-13,-3.737454790098127e-12
stiff_grid,ANALYTICAL_REFERENCE,A,2,120.0,negative,9.820699276137158e-14,,-3.5170071074516555e-14,9.169339958713246e-14,1.0345658394727079e-13,,-5.02429586778808e-14,9.043732562018544e-14,2.8226751748531424e-14,,2.637755330588742e-14,1.004859173557616e-14,0.0,,0.0,0.0,3.197047540586096e-13,,1.6077746776921855e-13,-2.7633627272834437e-13,,,,,,1.432144669219779e-14,,-1.1304665702523177e-14,-8.792517768629142e-15
stiff_grid,ANALYTICAL_REFERENCE,A,3,180.0,zero,1.1535382849852892e-13,,9.42055475210265e-14,6.657192024819206e-14,1.3164230462087475e-13,,9.797376942186756e-14,8.79251776862914e-14,8.333331360430665e-15,,-5.65233285126159e-15,-6.1233605888667225e-15,0.0,,0.0,0.0,3.816481069519507e-13,,-3.5672500661295365e-13,-1.3565598843027815e-13,,,,,,1.5345997266771557e-14,,1.8841109504205248e-15,-1.5229896849232615e-14
stiff_grid,ANALYTICAL_REFERENCE,A,4,240.0,positive,1.289190287802731e-13,,1.2309524876080795e-13,-3.8310255991884105e-14,7.055919345105185e-14,,6.531584628124504e-14,-2.6691571797624174e-14,3.5838026749710424e-14,,3.548408956625331e-14,5.02429586778808e-15,0.0,,0.0,0.0,3.2201422181718815e-13,,-3.215549355384371e-13,1.7192512422587337e-14,,,,,,2.7822109252321566e-14,,2.2295312913309597e-14,-1.664298006204801e-14
stiff_grid,ANALYTICAL_REFERENCE,A,5,300.0,negative,20.00000000000001,6.038093139528569e-12,20.00000000000001,2.1076921165370993e-12,3.3139798985369895,-77.43888703784442,0.7207270983278669,-3.2346584391003526,19.54874366384705,9.52432430872595,19.279272901671742,3.234658439103844,0.0,,0.0,0.0,0.6255489370183642,9.524324308720855,0.6169260223321456,0.1035072730499767,97.7437183192352,16.56989949268494,96.39636450836036,3.603635491637628,0.0,1.4408400330089283e-12,7.204200165044637e-12,4.014566457044566e-13,-1.3837819778927951e-12
stiff_grid,ANALYTICAL_REFERENCE,A,6,360.0,zero,9.636889339578156e-14,,-7.567845650855795e-14,5.966351342998344e-14,3.0777416783210024e-14,,-3.077381219020199e-14,4.710277376051325e-16,5.4360582695165343e-14,,-3.5170071074516555e-14,4.1450440909251656e-14,0.0,,0.0,0.0,3.618190776385863e-13,,3.2657923140622517e-13,-1.5575317190143048e-13,,,,,,2.0237145780127834e-14,,-9.734573243839408e-15,1.774204478312665e-14
stiff_grid,ANALYTICAL_REFERENCE,A,7,420.0,positive,14.000000000000012,20.00000000001416,13.155696691001546,4.788282006562618,11.28490481209618,20.0968679673562,10.59780122585255,3.8775876257526014,2.715178348814036,19.597391358704225,2.557895465148294,0.9106943808118668,0.0,,0.0,0.0,2.9801536063610063,107.92673808731011,-0.9172932548332398,2.8354697321861777,19.394131062957385,80.60646294354406,19.393652257090995,80.60634774290881,0.0,1.9795511523840794e-12,1.4139651088457697e-11,7.029932191926491e-13,-1.850519737445211e-12
stiff_grid,ANALYTICAL_REFERENCE,A,8,480.0,negative,1.0965721766439742e-13,,6.877004969034935e-14,8.541302975239736e-14,1.6219533870541076e-13,,1.186989898764934e-13,1.1053450909133775e-13,3.269564396349494e-14,,-3.1401849173675496e-14,-9.106536260365895e-15,0.0,,0.0,0.0,1.7128722890799497e-13,,1.25607396694702e-14,-1.7082605950479472e-13,,,,,,2.4489416146455472e-14,,-1.852709101246855e-14,-1.6014943078574496e-14
stiff_grid,ANALYTICAL_REFERENCE,A,9,540.0,zero,1.1044883448157216e-13,,-1.0551021322354968e-13,3.265792314062252e-14,7.469152777740588e-14,,-7.034014214903311e-14,2.51214793389404e-14,1.5888218580782545e-14,,1.507288760336424e-14,-5.02429586778808e-15,0.0,,0.0,0.0,3.4469162027470235e-14,,-1.004859173557616e-14,3.297194163235927e-14,,,,,,5.1789256393111503e-14,,-5.0242958677880804e-14,1.2560739669470201e-14
stiff_grid,ANALYTICAL_REFERENCE,A,10,600.0,positive,1.2727011026514838e-13,,5.966351342998344e-14,1.1241862004175828e-13,9.398337914631325e-14,,2.323736838851987e-14,9.106536260365894e-14,8.391185778350836e-14,,7.536443801682119e-14,-3.689717277906871e-14,0.0,,0.0,0.0,1.7857908879391398e-13,,-9.169339958713246e-14,-1.5324102396753642e-13,,,,,,7.006642049027444e-14,,-3.893829297535762e-14,5.825043021716805e-14
stiff_grid,ANALYTICAL_REFERENCE,A,11,660.0,negative,8.999999999999941,-10.000000000005835,8.863269777109656,-1.5628335990032658,7.836205975759305,-9.906258864286565,7.719372369334816,-1.3481150982301262,1.163875128219578,-10.63115823943019,1.1438974077748885,-0.2147185007725927,0.0,,0.0,0.0,3.2505427496977064,78.71235635005144,0.6362438842144147,3.1876671544268986,12.931945869106508,87.06895528621506,12.931161246642473,87.06883875335701,0.0,5.49073208265379e-13,6.100813425170918e-12,-4.884981308350689e-14,-5.468958619303521e-13
stiff_grid,ANALYTICAL_REFERENCE,A,12,720.0,zero,4.52883909360294e-14,,-1.507288760336424e-14,4.270651487619868e-14,1.1440620673471796e-13,,-1.130466570252318e-13,-1.7585035537258278e-14,3.2874601748960947e-14,,-3.76822190084106e-15,3.265792314062252e-14,0.0,,0.0,0.0,3.305360493644971e-13,,3.1150634380286096e-13,1.1053450909133775e-13,,,,,,1.0542793820692907e-13,,1.0174199132270863e-13,2.7633627272834437e-14
stiff_grid,ANALYTICAL_REFERENCE,A,13,780.0,positive,7.0000000000000435,30.000000000069008,6.062177826486892,3.500000000007323,6.149626626973634,30.079171224971194,5.321479027137602,3.0821694656390592,0.8504216993985734,29.427482365008668,0.7406987993505374,0.41783053436606316,0.0,,0.0,0.0,3.014488340419012,118.91024285146034,-1.4573208779870441,2.638817123846448,12.148881419979544,87.85180895676565,12.148274913903059,87.85172508609665,0.0,2.529164678326782e-12,3.6130923976096664e-11,-1.2465584120491258e-12,2.200628568260754e-12
stiff_grid,ANALYTICAL_REFERENCE,A,14,840.0,negative,1.1519129679046948e-13,,1.1241862004175828e-13,2.51214793389404e-14,1.5371902795356919e-13,,1.1179058305828478e-13,1.0551021322354968e-13,3.456486425486468e-14,,-3.1401849173675496e-14,-1.444485061989073e-14,0.0,,0.0,0.0,4.0335427739492424e-13,,-2.562390892571921e-13,-3.1150634380286096e-13,,,,,,7.331104519286811e-14,,3.2029886157149e-14,-6.594388326471854e-14
stiff_grid,ANALYTICAL_REFERENCE,A,15,900.0,zero,1.132209773400735e-14,,-3.76822190084106e-15,1.067662871904967e-14,3.8062357420926885e-14,,3.014577520672848e-14,-2.323736838851987e-14,9.106536260365893e-14,,-6.280369834735099e-14,6.594388326471854e-14,0.0,,0.0,0.0,4.646200455358441e-14,,-4.521866281009272e-14,-1.067662871904967e-14,,,,,,4.313384338270537e-14,,2.8889701239781455e-14,-3.2029886157149005e-14
stiff_grid,ANALYTICAL_REFERENCE,A,16,960.0,positive,1.0409511705222208e-13,,1.0299806528965563e-13,-1.507288760336424e-14,1.4114249199712806e-13,,6.437379080603477e-14,-1.2560739669470198e-13,1.1559293236454163e-13,,3.7682219008410597e-14,1.0927843512439073e-13,0.0,,0.0,0.0,3.7985803387026805e-13,,-3.0145775206728477e-13,2.311176099182517e-13,,,,,,1.5700924586837737e-15,,9.420554752102663e-16,1.2560739669470176e-15
stiff_grid,ANALYTICAL_REFERENCE,A,17,1020.0,negative,5.96734289794683e-14,,3.893829297535762e-14,-4.521866281009272e-14,6.801382468451552e-14,,6.782799421513907e-14,-5.02429586778808e-15,2.8363536660749887e-14,,-2.308035914265149e-14,1.6485970816179636e-14,0.0,,0.0,0.0,1.5510352080342978e-13,,-6.531584628124504e-14,1.4068028429806622e-13,,,,,,5.697726866055746e-14,,-5.809342097129964e-15,-5.668033775848427e-14
stiff_grid,ANALYTICAL_REFERENCE,A,18,1080.0,zero,3.5198097273142463e-14,,-3.391399710756954e-14,9.420554752102649e-15,2.2469334198890885e-14,,2.009718347115232e-14,1.004859173557616e-14,2.890089877815471e-14,,-2.865418737097889e-14,3.76822190084106e-15,0.0,,0.0,0.0,1.6357922210689449e-13,,-1.6077746776921855e-13,3.014577520672848e-14,,,,,,2.573527145214205e-14,,-2.5356993207742964e-14,-4.39625888431457e-15
stiff_grid,ANALYTICAL_REFERENCE,A,19,1140.0,positive,1.7931968162647086e-13,,1.1430273099217881e-13,1.3816813636417219e-13,1.3521331420907546e-13,,7.787658595071524e-14,1.1053450909133775e-13,3.440509323032589e-14,,2.888970123978146e-14,1.8684100258336923e-14,0.0,,0.0,0.0,2.864289338439558e-13,,-1.758503553725828e-13,-2.260933140504636e-13,,,,,,1.170008627998672e-14,,7.536443801682112e-15,8.949527014497514e-15
stiff_grid,ANALYTICAL_REFERENCE,A,20,1200.0,negative,1.805234928290453e-13,,1.2811954462859604e-13,1.2717748915338577e-13,1.1762916423054507e-13,,1.3816813636417219e-14,1.1681487892607285e-13,8.86489274487386e-14,,8.79251776862914e-14,1.130466570252318e-14,0.0,,0.0,0.0,4.2395054976442164e-13,,-2.210690181826755e-13,-3.6174930248074177e-13,,,,,,2.639437036421417e-14,,2.6377553305887445e-14,-9.420554752102569e-16
stiff_grid,ANALYTICAL_REFERENCE,A,21,1260.0,zero,9.607198689254525e-14,,5.063548179255174e-14,-8.164480785155629e-14,7.803849170958016e-14,,6.531584628124504e-14,-4.270651487619868e-14,2.7804382516369456e-14,,-2.637755330588742e-14,-8.792517768629139e-15,0.0,,0.0,0.0,9.593971566623889e-14,,-6.657192024819206e-14,6.908406818208609e-14,,,,,,3.233561487028963e-14,,1.1697188817194118e-14,-3.014577520672847e-14
stiff_grid,ANALYTICAL_REFERENCE,A,22,1320.0,positive,1.8843726143271344e-13,,-1.5261298698406293e-13,1.1053450909133775e-13,2.1687563858787275e-13,,-1.9594753884373512e-13,9.294947355407948e-14,6.08605285536359e-14,,4.828034310452608e-14,3.705418202493709e-14,0.0,,0.0,0.0,6.350717926714391e-13,,5.476482495889007e-13,-3.215549355384371e-13,,,,,,2.0087521400022698e-14,,-4.9457912448538935e-15,-1.9469146487678817e-14
stiff_grid,ANALYTICAL_REFERENCE,A,23,1380.0,negative,1.0710010267206153e-13,,-1.004859173557616e-13,3.705418202493709e-14,1.1006292140492642e-13,,-1.004859173557616e-13,4.4904644318355963e-14,9.336440972175735e-15,,3.14018491736755e-15,8.792517768629139e-15,0.0,,0.0,0.0,3.060499679346081e-13,,2.210690181826755e-13,-2.1164846343057287e-13,,,,,,1.6936633274089345e-14,,-3.14018491736755e-15,-1.6642980062048014e-14
stiff_grid,ANALYTICAL_REFERENCE,A,24,1440.0,zero,9.166973760662144e-14,,3.328596012409603e-14,-8.541302975239736e-14,9.859180530923097e-14,,-6.908406818208609e-14,-7.034014214903311e-14,8.101433657963767e-14,,8.038873388460928e-14,-1.004859173557616e-14,0.0,,0.0,0.0,2.5669431955401866e-13,,-5.275510661177484e-14,2.5121479338940397e-13,,,,,,2.2548189581758936e-14,,2.1981294421572852e-14,-5.024295867788089e-15
stiff_grid,ANALYTICAL_REFERENCE,A,25,1500.0,positive,6.396118084022657e-14,,-2.135325743809934e-14,6.029155041345696e-14,5.123796534383003e-14,,1.004859173557616e-14,5.02429586778808e-14,4.502635368779044e-14,,-4.1450440909251656e-14,-1.7585035537258278e-14,0.0,,0.0,0.0,1.1019141097727087e-13,,7.536443801682119e-14,-8.038873388460928e-14,,,,,,2.9403937697564055e-14,,1.0048591735576153e-14,2.7633627272834437e-14
stiff_grid,ANALYTICAL_REFERENCE,B,1,60.0,positive,100.0,59.99999999999867,50.000000000002004,86.60254037844271,106.97714338425003,79.73805392826225,19.057840350343596,105.265891569089,36.13499579978112,-31.097077077271138,30.942159649656336,-18.663351190645766,0.0,,0.0,0.0,277.5143587739659,-120.85834604416937,-142.34191682152493,-238.22887742945764,36.13499579978112,106.97714338425003,-0.6918564260207799,100.6918564260202,0.0,2.137806895569293e-12,2.137806895569293e-12,2.071232074740692e-12,-5.293543381412746e-13
stiff_grid,ANALYTICAL_REFERENCE,B,2,120.0,negative,5.67600910580895e-14,,5.1499032644827815e-14,-2.3865405371993378e-14,3.8694418177683974e-14,,3.1401849173675496e-14,-2.260933140504636e-14,2.940393769756406e-14,,1.004859173557616e-14,-2.7633627272834437e-14,0.0,,0.0,0.0,7.587560139005782e-14,,-7.159621611598014e-14,2.51214793389404e-14,,,,,,2.8226751748531424e-14,,1.004859173557616e-14,2.637755330588742e-14
stiff_grid,ANALYTICAL_REFERENCE,B,3,180.0,zero,1.084178118126615e-13,,-4.7730810743986756e-14,-9.734573243839404e-14,1.1766939537721438e-13,,-3.265792314062252e-14,-1.130466570252318e-13,2.341854385203525e-14,,-2.050933274155681e-14,1.130466570252318e-14,0.0,,0.0,0.0,2.3348642184230244e-13,,1.4570458016585432e-13,1.8244474369905465e-13,,,,,,6.991568344691516e-15,,5.436445138192574e-15,4.396258884314571e-15
