case,origin,channel,rms_total,dc,fundamental_rms,harmonic_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct,dc_pct,unmodeled_rms,unmodeled_pct
tuned_5th,PSCAD_EMTDC,Iload_A,103.56640381881358,1.0954748567261382e-11,99.99999999976126,26.94438717078778,-179.99999998842407,26.944387170852114,1.496841186000418e-08,6.972750877932984e-08,1.0954748567261382e-11,5.976759341997766e-09,5.976759341997766e-09
tuned_5th,PSCAD_EMTDC,Isystem_A,108.29613497563577,2.6095021268245327e-10,107.50659685770466,13.05314072306287,-160.33884325044176,12.141711396873589,2.3094838073079127e-07,0.001148032472295208,2.4272949917411966e-10,2.0362431172363428e-08,1.894063495725061e-08
tuned_5th,PSCAD_EMTDC,Ifilter_A,41.60196047610863,-2.500007487767891e-10,36.19254664470845,20.513963118478692,88.03843169576275,56.68007648054781,6.011933656657823e-07,0.003410168501594059,6.907522507358803e-10,2.113757921433233e-08,5.840314674594929e-08
tuned_5th,PSCAD_EMTDC,Ilinear_A,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
tuned_5th,PSCAD_EMTDC,Vpcc_A,278.11339119474826,2.5202894638301133e-11,277.95625627310284,9.347248608948265,-1.722837194605975,3.3628487929281325,3.016771317040805e-08,0.0001675714523651682,9.067216236060182e-12,0.08308987144387989,0.029893146887308715
tuned_5th,PSCAD_EMTDC,Iload_B,103.56640381869421,-6.8219192186650026e-12,99.99999999969826,26.94438717056218,60.00000001176927,26.944387170643484,1.4968387542752107e-08,6.973471304676468e-08,6.821919218665002e-12,5.97683529317805e-09,5.9768352931780495e-09
tuned_5th,PSCAD_EMTDC,Isystem_B,108.29613497569497,-1.1846019562921038e-10,107.50659685776651,13.053140723043596,79.66115674989913,12.141711396848676,1.4969061136947157e-07,0.0011480339923133633,1.1018877379546941e-10,1.3645269796050997e-08,1.2692495896608683e-08
tuned_5th,PSCAD_EMTDC,Ifilter_B,41.60196047553575,1.1162499814317085e-10,36.19254664499076,20.513963116818807,-31.961568304073026,56.680076475519435,3.8966735277107055e-07,0.0034101735440540256,3.0841995107233217e-10,1.4092884977133378e-08,3.893865144383341e-08
tuned_5th,PSCAD_EMTDC,Ilinear_B,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
tuned_5th,PSCAD_EMTDC,Vpcc_B,278.11338044468437,2.724535262412259e-11,277.95625627312086,9.347248608944764,-121.72283719461909,3.3628487929266555,1.9568263461139637e-08,0.00016757165001986856,9.802028981829746e-12,0.03040465830212046,0.010938648729256916
tuned_5th,PSCAD_EMTDC,Iload_C,103.56640381871979,-4.1345435329464134e-12,99.99999999970987,26.944387170617578,-59.999999988581116,26.94438717069575,1.496831863186098e-08,6.980584825748002e-08,4.134543532946413e-12,5.9767675124007e-09,5.9767675124006995e-09
tuned_5th,PSCAD_EMTDC,Isystem_C,108.2961349757338,-1.4250788720304728e-10,107.50659685782414,13.053140722891959,-40.33884325049567,12.141711396701117,1.3186155951593476e-07,0.0011480323378172462,1.3255734775449538e-10,1.25972458663772e-08,1.1717649695269184e-08
tuned_5th,PSCAD_EMTDC,Ifilter_C,41.601960476414234,1.3836566980855466e-10,36.192546644934204,20.513963118700243,-151.96156830453847,56.68007648080642,3.4235446878947986e-07,0.00341016854143664,3.8230444633656393e-10,1.2708731238350917e-08,3.511423365666063e-08
tuned_5th,PSCAD_EMTDC,Ilinear_C,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
tuned_5th,PSCAD_EMTDC,Vpcc_C,278.11338362901654,-5.2528609645838185e-11,277.9562562730165,9.347248608946709,118.27716280538796,3.362848792928617,1.8104523298845363e-08,0.00016757141931379933,1.8898157099565488e-11,0.05192024698906515,0.01867928717061208
