case,origin,channel,rms_total,dc,fundamental_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct
without_filter,ANALYTICAL_REFERENCE,Iload_A,103.56640381899916,-7.995822135811399e-16,99.99999999999997,-179.99999999999935,26.944387170614977,3.829589539386987e-12,8.431863494757606e-12
without_filter,ANALYTICAL_REFERENCE,Isystem_A,103.56640381899928,2.4156236657335055e-15,100.00000000000021,179.99999999999943,26.944387170614924,3.844983915369243e-12,8.453460582780902e-12
without_filter,ANALYTICAL_REFERENCE,Ifilter_A,0.0,0.0,0.0,0.0,,0.0,0.0
without_filter,ANALYTICAL_REFERENCE,Ilinear_A,0.0,0.0,0.0,0.0,,0.0,0.0
without_filter,ANALYTICAL_REFERENCE,Vpcc_A,275.62087665760527,2.419429989048543e-15,275.231423359518,-1.5697846050200985,5.3216616711082825,9.368647411128563e-13,2.505801933166212e-12
without_filter,ANALYTICAL_REFERENCE,Iload_B,103.56640381899913,-1.6569395913832503e-14,100.0,59.99999999999867,26.94438717061501,1.6983970470868824e-12,5.180878390576231e-12
without_filter,ANALYTICAL_REFERENCE,Isystem_B,103.56640381899916,-1.8843132668264876e-14,100.00000000000004,59.999999999998685,26.944387170615006,1.7059992369993283e-12,5.197222324289721e-12
without_filter,ANALYTICAL_REFERENCE,Ifilter_B,0.0,0.0,0.0,0.0,,0.0,0.0
without_filter,ANALYTICAL_REFERENCE,Ilinear_B,0.0,0.0,0.0,0.0,,0.0,0.0
without_filter,ANALYTICAL_REFERENCE,Vpcc_B,275.6208766576052,2.0793458210872426e-14,275.231423359518,-121.56978460501763,5.321661671108317,1.1531805201761386e-12,2.6449190641524276e-12
without_filter,ANALYTICAL_REFERENCE,Iload_C,103.56640381899916,8.362848951654006e-15,99.99999999999986,-59.999999999998636,26.94438717061498,1.4424825057554528e-12,6.2702601154040195e-12
without_filter,ANALYTICAL_REFERENCE,Isystem_C,103.56640381899928,1.3478756649126181e-14,99.99999999999999,-60.00000000000193,26.944387170614956,1.4370237988953405e-12,6.265696146475137e-12
without_filter,ANALYTICAL_REFERENCE,Ifilter_C,0.0,0.0,0.0,0.0,,0.0,0.0
without_filter,ANALYTICAL_REFERENCE,Ilinear_C,0.0,0.0,0.0,0.0,,0.0,0.0
without_filter,ANALYTICAL_REFERENCE,Vpcc_C,275.62087665760515,-9.783630494056544e-15,275.2314233595175,118.43021539498054,5.321661671108303,9.27037939955008e-13,1.47301831901402e-12
